days,dates,day1,compartment,population,susceptibles,isolated,infected,importedinfections,accumulatedinfected,tested_mit,infectednotisolated,confirmed,deaths,recovered,beta,susceptibleprop,newtested_mit,newimportedinfections,newinfected,newisolated,newisolatedinfected,newconfirmed,newrecovered,requireddxtests,actualdxtests,newdeaths,truepositives,falsepositives,truenegatives,falsenegatives,ppv,npv,incidence,prevalence,actualdeaths
0,2020-01-19,0,Hospitals,86550.0,86549.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-01-20,1,Hospitals,86550.0,86549.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-01-21,2,Hospitals,86550.0,86548.9,0.0,1.1,0.0,0.1,0.0,1.1,0.0,0.0,0.0,0.0,1.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-01-22,3,Hospitals,86550.0,86548.9,0.0,1.1,0.0,0.1,0.0,1.1,0.0,0.0,0.0,0.0,1.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-01-23,4,Hospitals,86550.0,86548.8,0.0,1.2,0.0,0.2,0.0,1.2,0.0,0.0,0.0,0.0,1.0,0.0,0.04,0.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-01-24,5,Hospitals,86550.0,86548.8,0.0,1.2,0.0,0.2,0.0,1.2,0.0,0.0,0.0,0.0,1.0,0.0,0.04,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-01-25,6,Hospitals,86550.0,86548.7,0.0,1.3,0.0,0.3,0.0,1.3,0.0,0.0,0.0,0.0,1.0,0.0,0.04,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-01-26,7,Hospitals,86550.0,86548.6,0.0,1.4,0.0,0.4,0.0,1.4,0.0,0.0,0.0,0.0,1.0,0.0,0.04,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-01-27,8,Hospitals,86550.0,86548.5,0.0,1.5,0.0,0.5,0.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.04,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-01-28,9,Hospitals,86550.0,86548.4,0.0,1.6,0.0,0.6,0.0,1.6,0.0,0.0,0.0,0.0,1.0,0.0,0.04,0.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-01-29,10,Hospitals,86550.0,86548.3,0.0,0.7,0.0,0.7,0.0,0.7,0.0,0.0,1.0,0.0,1.0,0.0,0.04,0.132,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-01-30,11,Hospitals,86550.0,86548.1,0.0,0.8,0.0,0.9,0.0,0.8,0.0,0.0,1.0,0.0,1.0,0.0,0.04,0.155,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-01-31,12,Hospitals,86550.0,86547.9,0.0,1.0,0.0,1.1,0.0,1.0,0.0,0.0,1.1,0.0,1.0,0.0,0.04,0.182,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-02-01,13,Hospitals,86550.0,86547.7,0.0,1.2,0.0,1.3,0.0,1.2,0.0,0.0,1.1,0.0,1.0,0.0,0.04,0.214,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-02-02,14,Hospitals,86550.0,86547.5,0.0,1.4,0.0,1.5,0.0,1.4,0.0,0.0,1.2,0.0,1.0,0.0,0.04,0.242,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-02-03,15,Hospitals,86550.0,86547.2,0.0,1.6,0.0,1.8,0.0,1.6,0.0,0.0,1.2,0.0,1.0,0.0,0.04,0.275,0.0,0.0,0.0,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-02-04,16,Hospitals,86550.0,86546.9,0.0,1.8,0.0,2.1,0.0,1.8,0.0,0.0,1.3,0.0,1.0,0.0,0.04,0.316,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
