dates,days,day1,population,susceptibles,isolated,infected,importedinfections,accumulatedinfected,tested_mit,infectednotisolated,confirmed,deaths,recovered,beta,susceptibleprop,newtested_mit,newimportedinfections,newinfected,newisolated,newisolatedinfected,newconfirmed,newrecovered,requireddxtests,actualdxtests,newdeaths,truepositives,falsepositives,truenegatives,falsenegatives,ppv,npv,incidence,prevalence,actualdeaths,reff,positive rate,detection rate
2020-01-19,0,0,8654999.0,8654996.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3.4662049065516934e-07,0.0,0.0,1.0,,0.0
2020-01-20,3,3,8654999.0,8654992.0,0.0,7.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.6216065420689245e-07,4.6216065420689245e-07,0.0,0.5714285714285714,,0.0
2020-01-21,6,6,8654999.0,8654988.0,0.0,11.0,0.0,8.0,0.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.6216065420689245e-07,9.243213084137849e-07,0.0,0.36363636363636365,,0.0
2020-01-22,9,9,8654999.0,8654984.0,0.0,15.0,0.0,12.0,0.0,15.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.6216065420689245e-07,1.3864819626206773e-06,0.0,0.26666666666666666,,0.0
2020-01-23,12,12,8654999.0,8654979.1,0.0,19.900000000000002,0.0,16.900000000000002,0.0,19.900000000000002,0.0,0.0,0.0,0.0,3.0,0.0,4.0,4.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.609474940436158e-07,1.952628764024121e-06,0.0,0.24396984924623116,,0.0
2020-01-24,15,15,8654999.0,8654973.2,0.0,25.799999999999997,0.0,22.8,0.0,25.799999999999997,0.0,0.0,0.0,0.0,3.0,0.0,4.0,5.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,6.931254411467869e-07,2.634315728979287e-06,0.0,0.23251937984496127,,0.0
2020-01-25,18,18,8654999.0,8654966.0,0.0,33.0,0.0,30.0,0.0,33.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,7.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,8.253033882499582e-07,3.4662049065516935e-06,0.0,0.21645454545454546,,0.0
2020-01-26,21,21,8654999.0,8654957.7,0.0,41.3,0.0,38.3,0.0,41.3,0.0,0.0,0.0,0.0,3.0,0.0,4.0,8.286999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,9.574813353531294e-07,4.425188264030995e-06,0.0,0.20065375302663438,,0.0
2020-01-27,24,24,8654999.0,8654948.0,0.0,51.0,0.0,48.0,0.0,51.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,9.676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.1179666225264729e-06,5.545927850482709e-06,0.0,0.18972549019607843,,0.0
2020-01-28,27,27,8654999.0,8654936.7,0.0,62.3,0.0,59.3,0.0,62.3,0.0,0.0,0.0,0.0,3.0,0.0,4.0,11.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.316118003017678e-06,6.85153169861718e-06,0.0,0.18284109149277689,,0.0
