dates,days,day1,population,susceptibles,isolated,infected,accumulatedinfected,tested_mit,infectednotisolated,confirmed,deaths,recovered,beta,susceptibleprop,newtested_mit,newinfected,newisolated,newisolatedinfected,newconfirmed,newrecovered,requireddxtests,actualdxtests,newdeaths,truepositives,falsepositives,truenegatives,falsenegatives,ppv,npv,incidence,prevalence,reff,positive rate,detection rate
2020-07-22,0,0,8655000.0,8654997.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3.4662045060658576e-07,0.0,1.0,,0.0
2020-07-23,3,3,8655000.0,8654997.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,
2020-07-24,6,6,8655000.0,8654997.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,
2020-07-25,9,9,8655000.0,8654997.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,
2020-07-26,12,12,8655000.0,8654995.6,0.0,4.38344,1.4,0.0,4.4,0.0,0.0,0.0,0.0,3.0,0.0,1.38344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.59842865395725e-07,1.6175621028307336e-07,0.31560600806672384,,0.0
2020-07-27,15,15,8655000.0,8654994.3,0.0,5.66688,2.7,0.0,5.699999999999999,0.0,0.0,0.0,0.0,3.0,0.0,1.38344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.59842865395725e-07,3.119584055459272e-07,0.24412727991416794,,0.0
2020-07-28,18,18,8655000.0,8654992.9,0.0,7.050319999999999,4.1,0.0,7.1,0.0,0.0,0.0,0.0,3.0,0.0,1.38344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.59842865395725e-07,4.7371461582900055e-07,0.19622371750502107,,0.0
2020-07-29,21,21,8655000.0,8654991.7,0.0,8.33376,5.3,0.0,8.3,0.0,0.0,0.0,0.0,3.0,0.0,1.38344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.59842865395725e-07,6.123627960716348e-07,0.1660043005798103,,0.0
2020-07-30,24,24,8655000.0,8654989.6,0.0,10.31016,7.4,0.0,10.4,0.0,0.0,0.0,0.0,3.0,0.0,1.9763899999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.2835239745811667e-07,8.54997111496245e-07,0.191693436377321,,0.0
2020-07-31,27,27,8655000.0,8654987.2,0.0,12.7795,9.8,0.0,12.8,0.0,0.0,0.0,0.0,3.0,0.0,2.56935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.968630849220104e-07,1.1322934719815137e-06,0.20105246684142572,,0.0
2020-08-01,30,30,8655000.0,8654984.0,0.0,15.9418,13.0,0.0,16.0,0.0,0.0,0.0,0.0,3.0,0.0,3.1623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3.653726169844021e-07,1.5020219526285385e-06,0.19836530379254538,,0.0
2020-08-02,33,33,8655000.0,8654980.399999999,0.0,19.299039999999998,16.6,0.0,19.3,0.0,0.0,0.30000000000000004,0.0,3.0,0.0,3.75525,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.338821490467938e-07,1.9179664933564416e-06,0.1945822175610808,,0.0
2020-08-03,36,36,8655000.0,8654975.7,0.0,23.624049999999997,21.3,0.0,23.7,0.0,0.0,0.6000000000000001,0.0,3.0,0.0,4.52302,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.225904101675332e-07,2.461005199306759e-06,0.1914582808620876,,0.0
2020-08-04,39,39,8655000.0,8654970.1,0.0,28.991640000000004,26.9,0.0,29.0,0.0,0.0,0.8999999999999999,0.0,3.0,0.0,5.66561,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,6.546054303870595e-07,3.1080300404390526e-06,0.1954221975714378,,0.0
2020-08-05,42,42,8655000.0,8654963.0,0.0,35.77662,34.0,0.0,35.8,0.0,0.0,1.2000000000000002,0.0,3.0,0.0,7.083,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,8.18370883882149e-07,3.928365106874639e-06,0.19797845632147476,,0.0
2020-08-06,45,45,8655000.0,8654954.4,0.0,43.87887,42.6,0.0,43.8,0.0,0.0,1.5,0.0,3.0,0.0,8.58774,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,9.922287694974003e-07,4.922010398613518e-06,0.19571470277151623,,0.0
2020-08-07,48,48,8655000.0,8654944.0,0.0,53.850970000000004,53.0,0.0,53.9,0.0,0.0,2.0999999999999996,0.0,3.0,0.0,10.44506,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.2068238012709416e-06,6.123627960716349e-06,0.19396233716867123,,0.0
2020-08-08,51,51,8655000.0,8654931.100000001,0.0,66.02327,65.9,0.0,66.0,0.0,0.0,2.9,0.0,3.0,0.0,12.93272,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.4942484113229347e-06,7.614095898324668e-06,0.19588124005369623,,0.0
2020-08-09,54,54,8655000.0,8654915.2,0.0,81.10388,81.8,0.0,81.1,0.0,0.0,3.5999999999999996,0.0,3.0,0.0,15.92849,0.0,0.0,0.0,0.8999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.8403801270941653e-06,9.451184286539572e-06,0.1963961526871464,,0.0
2020-08-10,57,57,8655000.0,8654895.7,0.0,99.66195,101.3,0.0,99.7,0.0,0.0,4.800000000000001,0.0,3.0,0.0,19.53233,0.0,0.0,0.0,0.8999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.256768341998845e-06,1.170421721548238e-05,0.19598583009864848,,0.0
