days,compartment,population,susceptibles,total_isolated,total_infected,tested,total_infected_notisolated,total_confirmed,total_deaths,total_recovered,beta,susceptible_prop,new_tested,num_infected,num_isolated,num_isolated_infected,num_confirmed,num_recovered,new_deaths
0,Hospitals,2500.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
1,Hospitals,2500.0,2499.7,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
2,Hospitals,2500.0,2499.3,0.0,0.6,0.0,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.0,0.0,0.0,0.1,0.0
3,Hospitals,2500.0,2498.8,0.0,1.1,0.0,1.1,0.0,0.0,0.1,0.0,1.0,0.0,0.8,0.0,0.0,0.0,0.1,0.0
4,Hospitals,2500.0,2498.0,0.0,1.8,0.0,1.8,0.0,0.0,0.2,0.0,1.0,0.0,1.2,0.0,0.0,0.0,0.2,0.0
5,Hospitals,2500.0,2496.8,0.0,2.8,0.0,2.8,0.0,0.0,0.4,0.0,1.0,0.0,1.7,0.0,0.0,0.0,0.3,0.0
6,Hospitals,2500.0,2495.1,0.0,4.2,0.0,4.2,0.0,0.0,0.7,0.0,1.0,0.0,2.4,0.0,0.0,0.0,0.4,0.0
7,Hospitals,2500.0,2492.7,0.0,6.2,0.0,6.2,0.0,0.0,1.1,0.0,1.0,0.0,3.3,0.0,0.0,0.0,0.6,0.0
8,Hospitals,2500.0,2489.4,0.0,8.9,0.0,8.9,0.0,0.0,1.7,0.0,1.0,0.0,4.7,0.0,0.0,0.0,0.9,0.0
9,Hospitals,2500.0,2484.7,0.0,12.7,0.0,12.7,0.0,0.0,2.6,0.0,1.0,0.0,6.6,0.0,0.0,0.0,1.3,0.0
10,Hospitals,2500.0,2478.1,0.0,18.1,0.0,18.1,0.0,0.0,3.9,0.0,1.0,0.0,9.2,0.0,0.0,0.0,1.8,0.0
11,Hospitals,2500.0,2468.8,0.0,25.5,0.0,25.5,0.0,0.0,5.7,0.0,1.0,0.0,12.9,0.0,0.0,0.0,2.5,0.0
12,Hospitals,2500.0,2455.9,0.0,35.8,0.0,35.8,0.0,0.0,8.2,0.0,1.0,0.0,18.0,0.0,0.0,0.0,3.6,0.0
13,Hospitals,2500.0,2438.0,0.0,50.2,0.0,50.2,0.0,0.0,11.8,0.0,1.0,0.0,24.9,0.0,0.0,0.0,5.0,0.0
14,Hospitals,2500.0,2413.0,0.0,70.1,0.0,70.1,0.0,0.0,16.8,0.0,1.0,0.0,34.5,0.0,0.0,0.0,7.0,0.0
15,Hospitals,2499.9,2378.6,0.0,97.6,0.0,97.6,0.0,0.1,23.8,0.0,1.0,0.0,47.3,0.0,0.0,0.0,9.7,0.0
16,Hospitals,2499.9,2331.2,0.0,135.2,0.0,135.2,0.0,0.1,33.5,0.0,0.9,0.0,64.5,0.0,0.0,0.0,13.5,0.0
17,Hospitals,2499.9,2266.7,0.0,186.2,0.0,186.2,0.0,0.1,47.0,0.0,0.9,0.0,87.0,0.0,0.0,0.0,18.6,0.1
18,Hospitals,2499.8,2179.7,0.0,254.6,0.0,254.6,0.0,0.2,65.6,0.0,0.9,0.0,115.5,0.0,0.0,0.0,25.4,0.1
19,Hospitals,2499.7,2064.2,0.0,344.6,0.0,344.6,0.0,0.3,90.9,0.0,0.8,0.0,150.2,0.0,0.0,0.0,34.4,0.1
20,Hospitals,2499.7,1914.0,0.0,460.3,0.0,460.3,0.0,0.3,125.3,0.0,0.8,0.0,189.9,0.0,0.0,0.0,45.9,0.1
21,Hospitals,2499.5,1724.1,0.0,604.2,0.0,604.2,0.0,0.5,171.2,0.0,0.7,0.0,231.2,0.0,0.0,0.0,60.3,0.2
22,Hospitals,2499.4,1492.9,0.0,775.0,0.0,775.0,0.0,0.6,231.5,0.0,0.6,0.0,267.4,0.0,0.0,0.0,77.3,0.2
23,Hospitals,2499.1,1225.6,0.0,964.8,0.0,964.8,0.0,0.9,308.8,0.0,0.5,0.0,289.1,0.0,0.0,0.0,96.2,0.3
24,Hospitals,2498.9,936.5,0.0,1157.4,0.0,1157.4,0.0,1.1,405.0,0.0,0.4,304.5,277.7,977.7,1041.7,977.7,115.4,0.3
25,Hospitals,2498.6,658.7,977.7,1319.4,304.5,341.7,977.7,1.4,520.4,0.0,0.3,394.6,177.0,311.5,307.5,311.5,131.6,0.4
26,Hospitals,2498.2,481.7,1191.5,1364.5,699.1,173.0,1289.2,1.8,652.0,0.0,0.2,510.3,144.9,181.0,155.7,181.0,136.1,0.4
27,Hospitals,2497.8,336.8,1253.3,1373.0,1209.4,119.6,1470.3,2.2,788.0,0.0,0.1,654.2,117.4,147.8,107.7,147.8,136.9,0.4
28,Hospitals,2497.4,219.4,1275.8,1353.1,1863.6,77.3,1618.0,2.6,925.0,0.0,0.1,824.9,88.5,125.6,69.6,125.6,134.9,0.4
29,Hospitals,2497.1,130.9,1273.8,1306.2,2688.5,32.4,1743.7,2.9,1059.9,0.0,0.1,1000.0,60.7,101.3,28.7,101.3,130.3,0.4
30,Hospitals,2496.7,70.2,1247.8,1236.3,3688.5,0.0,1845.0,3.3,1190.2,0.0,0.0,1000.0,37.3,75.0,0.0,75.0,123.3,0.3
31,Hospitals,2496.4,32.9,1198.0,1150.0,4688.5,0.0,1920.0,3.6,1313.5,0.0,0.0,391.6,19.9,29.4,0.0,29.4,114.7,0.3
32,Hospitals,2496.0,13.0,1107.6,1054.9,5080.2,0.0,1949.4,4.0,1428.1,0.0,0.0,223.0,8.9,16.7,0.0,16.7,105.2,0.3
33,Hospitals,2495.7,4.1,1013.5,958.3,5303.1,0.0,1966.1,4.3,1533.3,0.0,0.0,169.5,3.1,12.7,0.0,12.7,95.6,0.3
34,Hospitals,2495.5,1.0,924.9,865.6,5472.7,0.0,1978.8,4.5,1628.9,0.0,0.0,127.2,0.8,9.5,0.0,9.5,86.3,0.2
35,Hospitals,2495.2,0.2,842.0,779.9,5599.9,0.0,1988.4,4.8,1715.2,0.0,0.0,82.3,0.1,6.2,0.0,6.2,77.8,0.2
36,Hospitals,2495.0,0.0,763.9,702.0,5682.2,0.0,1994.5,5.0,1793.0,0.0,0.0,49.9,0.0,3.7,0.0,3.7,70.0,0.2
37,Hospitals,2494.8,0.0,691.3,631.8,5732.1,0.0,1998.3,5.2,1863.0,0.0,0.0,49.9,0.0,3.7,0.0,3.7,63.0,0.2
38,Hospitals,2494.7,0.0,625.9,568.7,5782.0,0.0,2002.0,5.3,1926.0,0.0,0.0,49.9,0.0,3.7,0.0,3.7,56.7,0.2
39,Hospitals,2494.5,0.0,567.1,511.8,5831.9,0.0,2005.8,5.5,1982.7,0.0,0.0,49.9,0.0,3.7,0.0,3.7,51.0,0.1
40,Hospitals,2494.4,0.0,514.1,460.6,5881.8,0.0,2009.5,5.6,2033.8,0.0,0.0,49.9,0.0,3.7,0.0,3.7,45.9,0.1
41,Hospitals,2494.2,0.0,466.4,414.5,5931.7,0.0,2013.2,5.8,2079.7,0.0,0.0,49.9,0.0,3.7,0.0,3.7,41.3,0.1
42,Hospitals,2494.1,0.0,423.5,373.1,5981.6,0.0,2017.0,5.9,2121.0,0.0,0.0,49.9,0.0,3.7,0.0,3.7,37.2,0.1
43,Hospitals,2494.0,0.0,384.9,335.8,6031.4,0.0,2020.7,6.0,2158.2,0.0,0.0,49.9,0.0,3.7,0.0,3.7,33.5,0.1
44,Hospitals,2493.9,0.0,350.2,302.2,6081.3,0.0,2024.5,6.1,2191.7,0.0,0.0,49.9,0.0,3.7,0.0,3.7,30.1,0.1
45,Hospitals,2493.8,0.0,318.9,272.0,6131.2,0.0,2028.2,6.2,2221.9,0.0,0.0,49.9,0.0,3.7,0.0,3.7,27.1,0.1
46,Hospitals,2493.8,0.0,290.7,244.8,6181.1,0.0,2031.9,6.2,2249.0,0.0,0.0,49.9,0.0,3.7,0.0,3.7,24.4,0.1
47,Hospitals,2493.7,0.0,265.4,220.3,6230.9,0.0,2035.7,6.3,2273.4,0.0,0.0,49.9,0.0,3.7,0.0,3.7,22.0,0.1
48,Hospitals,2493.6,0.0,242.6,198.3,6280.8,0.0,2039.4,6.4,2295.4,0.0,0.0,49.9,0.0,3.7,0.0,3.7,19.8,0.1
49,Hospitals,2493.6,0.0,222.1,178.4,6330.7,0.0,2043.2,6.4,2315.1,0.0,0.0,49.9,0.0,3.7,0.0,3.7,17.8,0.0
50,Hospitals,2493.5,0.0,203.6,160.6,6380.6,0.0,2046.9,6.5,2332.9,0.0,0.0,49.9,0.0,3.7,0.0,3.7,16.0,0.0
51,Hospitals,2493.5,0.0,187.0,144.5,6430.4,0.0,2050.6,6.5,2348.9,0.0,0.0,49.9,0.0,3.7,0.0,3.7,14.4,0.0
52,Hospitals,2493.4,0.0,172.0,130.1,6480.3,0.0,2054.4,6.6,2363.4,0.0,0.0,49.9,0.0,3.7,0.0,3.7,13.0,0.0
