days,compartment,population,susceptibles,total_isolated,total_infected,tested,total_infected_notisolated,total_confirmed,total_deaths,total_recovered,beta,susceptible_prop,new_tested,num_infected,num_isolated,num_isolated_infected,num_confirmed,num_recovered,new_deaths
0,Hospitals,40000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
1,Hospitals,40000.0,39999.9,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,1.0,1000.0,0.2,0.0,0.0,0.0,0.0,0.0
2,Hospitals,40000.0,39999.7,0.0,0.3,1000.0,0.3,0.0,0.0,0.0,0.0,1.0,1000.0,0.3,0.0,0.0,0.0,0.0,0.0
3,Hospitals,40000.0,39999.4,0.0,0.6,2000.0,0.6,0.0,0.0,0.0,0.0,1.0,1000.0,0.4,0.0,0.0,0.0,0.0,0.0
4,Hospitals,40000.0,39999.0,0.1,1.0,3000.0,1.0,0.1,0.0,0.0,0.0,1.0,1000.0,0.7,0.1,0.1,0.1,0.0,0.0
5,Hospitals,40000.0,39998.3,0.1,1.7,4000.0,1.6,0.1,0.0,0.0,0.0,1.0,1000.0,1.1,0.1,0.1,0.1,0.0,0.0
6,Hospitals,40000.0,39997.2,0.2,2.8,5000.0,2.6,0.2,0.0,0.0,0.0,1.0,1000.0,1.6,0.2,0.2,0.2,0.0,0.0
7,Hospitals,40000.0,39995.6,0.4,4.4,6000.0,4.0,0.4,0.0,0.0,0.0,1.0,1000.0,2.5,0.3,0.3,0.3,0.0,0.0
8,Hospitals,40000.0,39993.0,0.7,7.0,7000.0,6.3,0.7,0.0,0.0,0.0,1.0,1000.0,3.9,0.4,0.4,0.4,0.0,0.0
9,Hospitals,40000.0,39989.2,1.1,10.8,8000.0,9.7,1.1,0.0,0.0,0.0,1.0,1000.0,5.9,0.7,0.7,0.7,0.0,0.0
10,Hospitals,40000.0,39983.3,1.8,16.7,9000.0,15.0,1.8,0.0,0.0,0.0,1.0,1000.0,8.8,1.0,1.0,1.0,0.1,0.0
11,Hospitals,40000.0,39974.5,2.8,25.4,10000.0,22.6,2.8,0.0,0.1,0.0,1.0,1000.0,12.9,1.5,1.5,1.5,0.2,0.0
