days,compartment,population,susceptibles,total_isolated,total_infected,tested,total_infected_notisolated,total_confirmed,total_deaths,total_recovered,beta,susceptible_prop,new_tested,num_infected,num_isolated,num_isolated_infected,num_confirmed,num_recovered,new_deaths
0,Hospitals,2500.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
1,Hospitals,2500.0,2499.7,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
2,Hospitals,2500.0,2499.3,0.0,0.6,0.0,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.0,0.0,0.0,0.1,0.0
3,Hospitals,2500.0,2498.8,0.0,1.1,0.0,1.1,0.0,0.0,0.1,0.0,1.0,0.0,0.8,0.0,0.0,0.0,0.1,0.0
4,Hospitals,2500.0,2498.0,0.0,1.8,0.0,1.8,0.0,0.0,0.2,0.0,1.0,0.0,1.2,0.0,0.0,0.0,0.2,0.0
5,Hospitals,2500.0,2496.8,0.0,2.8,0.0,2.8,0.0,0.0,0.4,0.0,1.0,0.0,1.7,0.0,0.0,0.0,0.3,0.0
6,Hospitals,2500.0,2495.1,0.0,4.2,0.0,4.2,0.0,0.0,0.7,0.0,1.0,0.0,2.4,0.0,0.0,0.0,0.4,0.0
7,Hospitals,2500.0,2492.7,0.0,6.2,0.0,6.2,0.0,0.0,1.1,0.0,1.0,0.0,3.3,0.0,0.0,0.0,0.6,0.0
8,Hospitals,2500.0,2489.4,0.0,8.9,0.0,8.9,0.0,0.0,1.7,0.0,1.0,0.0,4.7,0.0,0.0,0.0,0.9,0.0
9,Hospitals,2500.0,2484.7,0.0,12.7,0.0,12.7,0.0,0.0,2.6,0.0,1.0,0.0,6.6,0.0,0.0,0.0,1.3,0.0
10,Hospitals,2500.0,2478.1,0.0,18.1,0.0,18.1,0.0,0.0,3.9,0.0,1.0,0.0,9.2,0.0,0.0,0.0,1.8,0.0
11,Hospitals,2500.0,2468.8,0.0,25.5,0.0,25.5,0.0,0.0,5.7,0.0,1.0,0.0,12.9,0.0,0.0,0.0,2.5,0.0
12,Hospitals,2500.0,2455.9,0.0,35.8,0.0,35.8,0.0,0.0,8.2,0.0,1.0,0.0,18.0,0.0,0.0,0.0,3.6,0.0
13,Hospitals,2500.0,2438.0,0.0,50.2,0.0,50.2,0.0,0.0,11.8,0.0,1.0,0.0,24.9,0.0,0.0,0.0,5.0,0.0
14,Hospitals,2500.0,2413.0,0.0,70.1,0.0,70.1,0.0,0.0,16.8,0.0,1.0,0.0,34.5,0.0,0.0,0.0,7.0,0.0
15,Hospitals,2499.9,2378.6,0.0,97.6,0.0,97.6,0.0,0.1,23.8,0.0,1.0,0.0,47.3,0.0,0.0,0.0,9.7,0.0
16,Hospitals,2499.9,2331.2,0.0,135.2,0.0,135.2,0.0,0.1,33.5,0.0,0.9,0.0,64.5,0.0,0.0,0.0,13.5,0.0
17,Hospitals,2499.9,2266.7,0.0,186.2,0.0,186.2,0.0,0.1,47.0,0.0,0.9,0.0,87.0,0.0,0.0,0.0,18.6,0.1
18,Hospitals,2499.8,2179.7,0.0,254.6,0.0,254.6,0.0,0.2,65.6,0.0,0.9,0.0,115.5,0.0,0.0,0.0,25.4,0.1
19,Hospitals,2499.7,2064.2,0.0,344.6,0.0,344.6,0.0,0.3,90.9,0.0,0.8,0.0,150.2,0.0,0.0,0.0,34.4,0.1
20,Hospitals,2499.7,1914.0,0.0,460.3,0.0,460.3,0.0,0.3,125.3,0.0,0.8,0.0,189.9,0.0,0.0,0.0,45.9,0.1
21,Hospitals,2499.5,1724.1,0.0,604.2,0.0,604.2,0.0,0.5,171.2,0.0,0.7,0.0,231.2,0.0,0.0,0.0,60.3,0.2
22,Hospitals,2499.4,1492.9,0.0,775.0,0.0,775.0,0.0,0.6,231.5,0.0,0.6,0.0,267.4,0.0,0.0,0.0,77.3,0.2
23,Hospitals,2499.1,1225.6,0.0,964.8,0.0,964.8,0.0,0.9,308.8,0.0,0.5,0.0,289.1,0.0,0.0,0.0,96.2,0.3
24,Hospitals,2498.9,936.5,0.0,1157.4,0.0,1157.4,0.0,1.1,405.0,0.0,0.4,304.5,277.7,977.7,1041.7,977.7,115.4,0.3
25,Hospitals,2498.6,658.7,977.7,1319.4,304.5,341.7,977.7,1.4,520.4,0.0,0.3,394.6,179.6,311.5,307.5,311.5,131.6,0.4
26,Hospitals,2498.2,479.1,1191.5,1367.1,699.1,175.7,1289.2,1.8,652.0,0.0,0.2,510.3,148.6,183.2,158.1,183.2,136.3,0.4
27,Hospitals,2497.8,330.5,1255.5,1379.0,1209.4,123.5,1472.4,2.2,788.3,0.0,0.1,654.2,120.3,150.9,111.1,150.9,137.5,0.4
28,Hospitals,2497.4,210.2,1280.9,1361.4,1863.6,80.5,1623.3,2.6,925.8,0.0,0.1,824.9,89.5,128.3,72.5,128.3,135.8,0.4
29,Hospitals,2497.1,120.7,1281.1,1314.8,2688.5,33.7,1751.6,2.9,1061.6,0.0,0.0,1014.8,59.7,103.9,30.3,103.9,131.1,0.4
30,Hospitals,2496.7,61.0,1256.9,1243.0,3703.3,0.0,1855.6,3.3,1192.7,0.0,0.0,1207.4,34.8,90.6,0.0,90.6,124.0,0.3
31,Hospitals,2496.4,26.1,1221.8,1153.6,4910.7,0.0,1946.1,3.6,1316.7,0.0,0.0,391.6,17.2,29.4,0.0,29.4,115.0,0.3
32,Hospitals,2496.0,9.0,1129.0,1055.4,5302.3,0.0,1975.5,4.0,1431.7,0.0,0.0,225.6,6.7,16.9,0.0,16.9,105.2,0.3
33,Hospitals,2495.7,2.3,1033.0,956.5,5527.9,0.0,1992.4,4.3,1536.9,0.0,0.0,173.4,1.9,13.0,0.0,13.0,95.4,0.3
34,Hospitals,2495.5,0.4,942.7,862.8,5701.3,0.0,2005.4,4.5,1632.3,0.0,0.0,130.4,0.3,9.8,0.0,9.8,86.0,0.2
35,Hospitals,2495.2,0.0,858.2,776.8,5831.7,0.0,2015.2,4.8,1718.4,0.0,0.0,83.6,0.0,6.3,0.0,6.3,77.5,0.2
36,Hospitals,2495.0,0.0,778.6,699.2,5915.3,0.0,2021.5,5.0,1795.8,0.0,0.0,49.9,0.0,3.7,0.0,3.7,69.7,0.2
37,Hospitals,2494.8,0.0,704.5,629.3,5965.2,0.0,2025.2,5.2,1865.6,0.0,0.0,49.9,0.0,3.7,0.0,3.7,62.8,0.2
38,Hospitals,2494.7,0.0,637.8,566.3,6015.1,0.0,2028.9,5.3,1928.3,0.0,0.0,49.9,0.0,3.7,0.0,3.7,56.5,0.2
39,Hospitals,2494.5,0.0,577.8,509.7,6065.0,0.0,2032.7,5.5,1984.8,0.0,0.0,49.9,0.0,3.7,0.0,3.7,50.8,0.1
40,Hospitals,2494.4,0.0,523.7,458.7,6114.9,0.0,2036.4,5.6,2035.6,0.0,0.0,49.9,0.0,3.7,0.0,3.7,45.7,0.1
41,Hospitals,2494.2,0.0,475.1,412.9,6164.8,0.0,2040.2,5.8,2081.4,0.0,0.0,49.9,0.0,3.7,0.0,3.7,41.2,0.1
42,Hospitals,2494.1,0.0,431.3,371.6,6214.7,0.0,2043.9,5.9,2122.5,0.0,0.0,49.9,0.0,3.7,0.0,3.7,37.1,0.1
43,Hospitals,2494.0,0.0,391.9,334.4,6264.5,0.0,2047.7,6.0,2159.6,0.0,0.0,49.9,0.0,3.7,0.0,3.7,33.3,0.1
44,Hospitals,2493.9,0.0,356.5,301.0,6314.4,0.0,2051.4,6.1,2192.9,0.0,0.0,49.9,0.0,3.7,0.0,3.7,30.0,0.1
45,Hospitals,2493.8,0.0,324.6,270.9,6364.3,0.0,2055.1,6.2,2223.0,0.0,0.0,49.9,0.0,3.7,0.0,3.7,27.0,0.1
46,Hospitals,2493.8,0.0,295.9,243.8,6414.2,0.0,2058.9,6.2,2250.0,0.0,0.0,49.9,0.0,3.7,0.0,3.7,24.3,0.1
47,Hospitals,2493.7,0.0,270.0,219.4,6464.1,0.0,2062.6,6.3,2274.3,0.0,0.0,49.9,0.0,3.7,0.0,3.7,21.9,0.1
48,Hospitals,2493.6,0.0,246.8,197.5,6513.9,0.0,2066.4,6.4,2296.2,0.0,0.0,49.9,0.0,3.7,0.0,3.7,19.7,0.1
49,Hospitals,2493.6,0.0,225.8,177.7,6563.8,0.0,2070.1,6.4,2315.9,0.0,0.0,49.9,0.0,3.7,0.0,3.7,17.7,0.0
50,Hospitals,2493.5,0.0,207.0,159.9,6613.7,0.0,2073.8,6.5,2333.6,0.0,0.0,49.9,0.0,3.7,0.0,3.7,16.0,0.0
51,Hospitals,2493.5,0.0,190.0,144.0,6663.5,0.0,2077.6,6.5,2349.5,0.0,0.0,49.9,0.0,3.7,0.0,3.7,14.4,0.0
52,Hospitals,2493.4,0.0,174.8,129.6,6713.4,0.0,2081.3,6.6,2363.9,0.0,0.0,49.9,0.0,3.7,0.0,3.7,12.9,0.0
