dates,days,day1,population,susceptibles,isolated,isolatedinfected,infectednotisolated,infected,importedinfections,accumulatedinfected,tested_mit,confirmed,deaths,recovered,beta,susceptibleprop,newtested_mit,newimportedinfections,newinfected,newisolated,newisolatedinfected,newconfirmed,newrecovered,requireddxtests,actualdxtests,newdeaths,truepositives,falsepositives,truenegatives,falsenegatives,ppv,npv,incidence,prevalence,actualdeaths,reff,positive rate,detection rate
2020-01-21,0,0,65273999.0,65273996.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.596010733155785e-08,0.0,0.0,1.0,,0.0
2020-01-22,3,3,65273999.0,65273996.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
2020-01-23,6,6,65273999.0,65273986.0,0.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
2020-01-24,9,9,65273999.0,65273976.0,0.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
2020-01-25,12,12,65273999.0,65273964.9,0.0,0.0,44.0,44.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,1.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.5978797315604944e-08,1.532003577718595e-08,0.0,0.023704545454545454,,0.0
2020-01-26,15,15,65273999.0,65273950.400000006,0.0,0.0,58.599999999999994,58.599999999999994,0.0,5.6,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,4.542999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,6.959892253575576e-08,8.579220035224133e-08,0.0,0.07752559726962457,,0.0
2020-01-27,18,18,65273999.0,65273932.4,0.0,0.0,76.6,76.6,0.0,13.6,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,8.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.232190477559066e-07,2.0835248656972892e-07,0.0,0.105,,0.0
2020-01-28,21,21,65273999.0,65273910.8,0.0,0.0,98.2,98.2,0.0,25.2,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,11.543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.7683917297605743e-07,3.8606490158508594e-07,0.0,0.1175458248472505,,0.0
2020-01-29,24,24,65273999.0,65273885.4,0.0,0.0,123.6,123.6,0.0,40.5,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,15.407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.3603579121910394e-07,6.20461448976031e-07,0.0,0.12465210355987055,,0.0
2020-01-30,27,27,65273999.0,65273855.0,0.0,0.0,154.1,154.1,0.0,61.099999999999994,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,20.498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3.1403009336075767e-07,9.360541859860615e-07,0.0,0.13301752109020118,,0.0
