dates,days,day1,population,susceptibles,isolated,infected,importedinfections,accumulatedinfected,tested_mit,infectednotisolated,confirmed,deaths,recovered,beta,susceptibleprop,newtested_mit,newimportedinfections,newinfected,newisolated,newisolatedinfected,newconfirmed,newrecovered,requireddxtests,actualdxtests,newdeaths,truepositives,falsepositives,truenegatives,falsenegatives,ppv,npv,incidence,prevalence,actualdeaths,reff,positive rate,detection rate
2020-01-19,0,0,8199999.0,8199996.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3.658537031528906e-07,0.0,0.0,1.0,,0.0
2020-01-20,3,3,8199999.0,8199992.0,0.0,7.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,3.9989999999999997,3.9989999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.876829863028032e-07,4.878049375371875e-07,0.0,0.5712857142857143,,0.0
2020-01-21,6,6,8199999.0,8199988.0,0.0,11.0,0.0,8.0,0.0,11.0,0.0,0.0,0.0,0.0,3.0,0.0,3.9989999999999997,3.9989999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.876829863028032e-07,9.75609875074375e-07,0.0,0.3635454545454545,,0.0
2020-01-22,9,9,8199999.0,8199984.0,0.0,15.0,0.0,12.0,0.0,15.0,0.0,0.0,0.0,0.0,3.0,0.0,3.9989999999999997,3.9989999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.876829863028032e-07,1.4634148126115624e-06,0.0,0.2666,,0.0
2020-01-23,12,12,8199999.0,8199979.1,0.0,19.900000000000002,0.0,16.900000000000002,0.0,19.900000000000002,0.0,0.0,0.0,0.0,3.0,0.0,3.9989999999999997,4.8549999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.920732429357613e-07,2.0609758610946176e-06,0.0,0.2439698492462311,,0.0
2020-01-24,15,15,8199999.0,8199973.199999999,0.0,25.799999999999997,0.0,22.8,0.0,25.799999999999997,0.0,0.0,0.0,0.0,3.0,0.0,3.9989999999999997,5.9990000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,7.31585455071397e-07,2.7804881439619687e-06,0.0,0.2325193798449613,,0.0
2020-01-25,18,18,8199999.0,8199966.0,0.0,33.0,0.0,30.0,0.0,33.0,0.0,0.0,0.0,0.0,3.0,0.0,3.9989999999999997,7.142000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,8.709757159726485e-07,3.6585370315289064e-06,0.0,0.21642424242424246,,0.0
2020-01-26,21,21,8199999.0,8199957.7,0.0,41.3,0.0,38.3,0.0,41.3,0.0,0.0,0.0,0.0,3.0,0.0,3.9989999999999997,8.286999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.010609879342668e-06,4.67073227691857e-06,0.0,0.20065375302663438,,0.0
2020-01-27,24,24,8199999.0,8199948.0,0.0,51.0,0.0,48.0,0.0,51.0,0.0,0.0,0.0,0.0,3.0,0.0,3.9989999999999997,9.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.1798781926680725e-06,5.85365925044625e-06,0.0,0.1897058823529412,,0.0
2020-01-28,27,27,8199999.0,8199936.699999999,0.0,62.3,0.0,59.3,0.0,62.3,0.0,0.0,0.0,0.0,3.0,0.0,3.9989999999999997,11.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.3891465108715257e-06,7.231708198988804e-06,0.0,0.18284109149277689,,0.0
