days,compartment,population,susceptibles,total_isolated,total_infected,tested,total_infected_notisolated,total_confirmed,total_deaths,total_recovered,beta,susceptible_prop,new_tested,num_infected,num_isolated,num_isolated_infected,num_confirmed,num_recovered,new_deaths
0,Hospitals,50000.0,49900.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
1,Hospitals,50000.0,49643.4,0.0,356.6,0.0,356.6,0.0,0.0,0.0,0.0,1.0,0.0,256.6,0.0,0.0,0.0,0.0,0.0
2,Hospitals,50000.0,49341.1,0.0,658.9,0.0,658.9,0.0,0.0,0.0,0.0,1.0,0.0,302.2,0.0,0.0,0.0,0.0,0.0
3,Hospitals,50000.0,48986.6,0.0,1013.4,0.0,1013.4,0.0,0.0,0.0,0.0,1.0,0.0,354.6,0.0,0.0,0.0,0.0,0.0
4,Hospitals,50000.0,48572.8,0.0,1427.2,0.0,1427.2,0.0,0.0,0.0,0.0,1.0,0.0,413.7,0.0,0.0,0.0,0.0,0.0
5,Hospitals,50000.0,48092.5,0.0,1907.5,0.0,1907.5,0.0,0.0,0.0,0.0,1.0,0.0,480.4,0.0,0.0,0.0,0.0,0.0
6,Hospitals,50000.0,47537.4,0.0,2462.6,0.0,2462.6,0.0,0.0,0.0,0.0,1.0,0.0,555.0,0.0,0.0,0.0,0.0,0.0
7,Hospitals,50000.0,46899.3,0.0,3100.7,0.0,3100.7,0.0,0.0,0.0,0.0,0.9,0.0,638.2,0.0,0.0,0.0,0.0,0.0
8,Hospitals,50000.0,46169.2,0.0,3830.8,0.0,3830.8,0.0,0.0,0.0,0.0,0.9,0.0,730.1,0.0,0.0,0.0,0.0,0.0
9,Hospitals,50000.0,45338.1,0.0,4661.9,0.0,4661.9,0.0,0.0,0.0,0.0,0.9,0.0,831.0,0.0,0.0,0.0,0.0,0.0
10,Hospitals,50000.0,44397.3,0.0,5602.7,0.0,5602.7,0.0,0.0,0.0,0.0,0.9,0.0,940.9,0.0,0.0,0.0,0.0,0.0
11,Hospitals,50000.0,43337.9,0.0,6662.1,0.0,6662.1,0.0,0.0,0.0,0.0,0.9,0.0,1059.3,0.0,0.0,0.0,0.0,0.0
12,Hospitals,50000.0,42152.5,0.0,7847.5,0.0,7847.5,0.0,0.0,0.0,0.0,0.8,0.0,1185.5,0.0,0.0,0.0,0.0,0.0
13,Hospitals,50000.0,40834.4,0.0,9165.6,0.0,9165.6,0.0,0.0,0.0,0.0,0.8,0.0,1318.1,0.0,0.0,0.0,0.0,0.0
14,Hospitals,50000.0,39378.9,0.0,10621.1,0.0,10621.1,0.0,0.0,0.0,0.0,0.8,0.0,1455.4,0.0,0.0,0.0,0.0,0.0
15,Hospitals,50000.0,37783.9,0.0,12216.1,0.0,12216.1,0.0,0.0,0.0,0.0,0.8,0.0,1595.0,0.0,0.0,0.0,0.0,0.0
16,Hospitals,50000.0,36050.2,0.0,13949.8,0.0,13949.8,0.0,0.0,0.0,0.0,0.7,0.0,1733.7,0.0,0.0,0.0,0.0,0.0
17,Hospitals,50000.0,34182.5,0.0,15817.5,0.0,15817.5,0.0,0.0,0.0,0.0,0.7,0.0,1867.8,0.0,0.0,0.0,0.0,0.0
18,Hospitals,50000.0,32189.4,0.0,17810.6,0.0,17810.6,0.0,0.0,0.0,0.0,0.6,0.0,1993.1,0.0,0.0,0.0,0.0,0.0
19,Hospitals,50000.0,30084.6,0.0,19915.4,0.0,19915.4,0.0,0.0,0.0,0.0,0.6,0.0,2104.8,0.0,0.0,0.0,0.0,0.0
20,Hospitals,49999.0,27985.4,0.0,22013.6,0.0,22013.6,0.0,1.0,0.0,0.0,0.6,0.0,2198.2,0.0,0.0,0.0,99.0,1.0
21,Hospitals,49996.4,26007.6,0.0,23889.9,0.0,23889.9,0.0,3.6,99.0,0.0,0.5,0.0,2132.9,0.0,0.0,0.0,254.1,2.6
22,Hospitals,49993.4,23882.7,0.0,25757.7,0.0,25757.7,0.0,6.6,353.1,0.0,0.5,0.0,2170.0,0.0,0.0,0.0,299.2,3.0
23,Hospitals,49989.9,21761.3,0.0,27576.3,0.0,27576.3,0.0,10.1,652.3,0.0,0.4,0.0,2173.2,0.0,0.0,0.0,351.0,3.5
24,Hospitals,49985.7,19669.1,0.0,29313.4,0.0,29313.4,0.0,14.3,1003.3,0.0,0.4,0.0,2150.8,0.0,0.0,0.0,409.6,4.1
25,Hospitals,49980.9,17631.8,0.0,30936.2,0.0,30936.2,0.0,19.1,1412.9,0.0,0.4,0.0,2103.2,0.0,0.0,0.0,475.6,4.8
26,Hospitals,49975.4,15673.9,0.0,32413.0,0.0,32413.0,0.0,24.6,1888.5,0.0,0.3,0.0,2031.8,0.0,0.0,0.0,549.5,5.6
27,Hospitals,49969.0,13817.0,0.0,33714.1,0.0,33714.1,0.0,31.0,2438.0,0.0,0.3,0.0,1939.2,0.0,0.0,0.0,631.8,6.4
28,Hospitals,49961.7,12079.3,0.0,34812.7,0.0,34812.7,0.0,38.3,3069.7,0.0,0.2,0.0,1828.7,0.0,0.0,0.0,722.8,7.3
29,Hospitals,49953.4,10474.8,0.0,35686.1,0.0,35686.1,0.0,46.6,3792.5,0.0,0.2,0.0,1704.4,0.0,0.0,0.0,822.7,8.3
30,Hospitals,49944.0,9012.8,0.0,36316.0,0.0,36316.0,0.0,56.0,4615.2,0.0,0.2,0.0,1570.8,0.0,0.0,0.0,931.5,9.4
31,Hospitals,49933.4,7697.9,0.0,36688.7,0.0,36688.7,0.0,66.6,5546.7,0.0,0.2,0.0,1432.1,0.0,0.0,0.0,1048.7,10.6
32,Hospitals,49921.5,6530.3,0.0,36795.8,0.0,36795.8,0.0,78.5,6595.4,0.0,0.1,0.0,1292.6,0.0,0.0,0.0,1173.6,11.9
33,Hospitals,49908.3,5505.6,0.0,36633.7,0.0,36633.7,0.0,91.7,7769.0,0.0,0.1,0.0,1156.0,0.0,0.0,0.0,1304.9,13.2
34,Hospitals,49893.8,4616.4,0.0,36203.4,0.0,36203.4,0.0,106.2,9074.0,0.0,0.1,0.0,1025.2,0.0,0.0,0.0,1440.9,14.6
35,Hospitals,49877.8,3851.9,0.0,35511.0,0.0,35511.0,0.0,122.2,10514.9,0.0,0.1,0.0,902.6,0.0,0.0,0.0,1579.0,15.9
36,Hospitals,49860.5,3199.8,0.0,34566.8,0.0,34566.8,0.0,139.5,12093.9,0.0,0.1,0.0,789.5,0.0,0.0,0.0,1716.3,17.3
37,Hospitals,49841.8,2646.1,0.0,33385.5,0.0,33385.5,0.0,158.2,13810.3,0.0,0.1,0.0,686.5,0.0,0.0,0.0,1849.1,18.7
38,Hospitals,49821.9,2176.5,0.0,31986.0,0.0,31986.0,0.0,178.1,15659.4,0.0,0.0,0.0,593.6,0.0,0.0,0.0,1973.1,19.9
39,Hospitals,49800.8,1777.1,0.0,30391.2,0.0,30391.2,0.0,199.2,17632.5,0.0,0.0,0.0,510.0,0.0,0.0,0.0,2083.8,21.0
40,Hospitals,49778.9,1435.0,0.0,28627.7,0.0,28627.7,0.0,221.1,19716.2,0.0,0.0,0.0,434.6,0.0,0.0,0.0,2176.2,22.0
41,Hospitals,49757.5,1004.3,0.0,26860.8,0.0,26860.8,0.0,242.5,21892.4,0.0,0.0,0.0,366.0,0.0,0.0,0.0,2111.6,21.3
42,Hospitals,49735.8,773.3,0.0,24958.5,0.0,24958.5,0.0,264.2,24004.0,0.0,0.0,0.0,267.8,0.0,0.0,0.0,2148.3,21.7
43,Hospitals,49714.1,561.0,0.0,23000.8,0.0,23000.8,0.0,285.9,26152.4,0.0,0.0,0.0,215.4,0.0,0.0,0.0,2151.5,21.7
44,Hospitals,49692.6,375.5,0.0,21013.3,0.0,21013.3,0.0,307.4,28303.8,0.0,0.0,0.0,163.3,0.0,0.0,0.0,2129.3,21.5
