days,compartment,population,susceptibles,total_isolated,total_infected,tested,total_infected_notisolated,total_confirmed,total_deaths,total_recovered,beta,susceptible_prop,new_tested,num_infected,num_isolated,num_isolated_infected,num_confirmed,num_recovered,new_deaths
0,Hospitals,200000.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
1,Hospitals,200000.0,199999.9,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,1.0,500.0,0.2,0.0,0.0,0.0,0.0,0.0
2,Hospitals,200000.0,199999.7,0.0,0.3,500.0,0.3,0.0,0.0,0.0,0.0,1.0,500.0,0.2,0.0,0.0,0.0,0.0,0.0
3,Hospitals,200000.0,199999.5,0.0,0.5,1000.0,0.5,0.0,0.0,0.0,0.0,1.0,500.0,0.4,0.0,0.0,0.0,0.0,0.0
4,Hospitals,200000.0,199999.1,0.0,0.9,1500.0,0.9,0.0,0.0,0.0,0.0,1.0,500.0,0.6,0.0,0.0,0.0,0.0,0.0
5,Hospitals,200000.0,199998.6,0.0,1.4,2000.0,1.4,0.0,0.0,0.0,0.0,1.0,500.0,0.9,0.0,0.0,0.0,0.0,0.0
6,Hospitals,200000.0,199997.7,0.0,2.3,2500.0,2.3,0.0,0.0,0.0,0.0,1.0,500.0,1.3,0.0,0.0,0.0,0.0,0.0
7,Hospitals,200000.0,199996.4,0.0,3.6,3000.0,3.6,0.0,0.0,0.0,0.0,1.0,500.0,2.0,0.0,0.0,0.0,0.0,0.0
8,Hospitals,200000.0,199994.4,0.1,5.6,3500.0,5.5,0.1,0.0,0.0,0.0,1.0,500.0,3.0,0.0,0.0,0.0,0.0,0.0
9,Hospitals,200000.0,199991.4,0.1,8.6,4000.0,8.5,0.1,0.0,0.0,0.0,1.0,500.0,4.5,0.1,0.1,0.1,0.0,0.0
10,Hospitals,200000.0,199987.0,0.2,13.0,4500.0,12.9,0.2,0.0,0.0,0.0,1.0,500.0,6.7,0.1,0.1,0.1,0.1,0.0
11,Hospitals,200000.0,199980.2,0.2,19.7,5000.0,19.4,0.2,0.0,0.1,0.0,1.0,500.0,10.1,0.1,0.1,0.1,0.2,0.0
12,Hospitals,200000.0,199970.1,0.4,29.6,5500.0,29.3,0.4,0.0,0.3,0.0,1.0,500.0,15.1,0.2,0.2,0.2,0.2,0.0
13,Hospitals,200000.0,199955.0,0.6,44.5,6000.0,43.9,0.6,0.0,0.5,0.0,1.0,500.0,22.6,0.3,0.3,0.3,0.4,0.0
14,Hospitals,200000.0,199932.3,0.9,66.8,6500.0,65.9,0.9,0.0,0.9,0.0,1.0,500.0,33.9,0.4,0.4,0.4,0.6,0.0
15,Hospitals,200000.0,199898.5,1.3,100.1,7000.0,98.8,1.3,0.0,1.4,0.0,1.0,500.0,50.7,0.7,0.7,0.7,0.9,0.0
16,Hospitals,200000.0,199847.7,2.0,150.0,7500.0,148.0,2.0,0.0,2.3,0.0,1.0,500.0,75.9,1.0,1.0,1.0,1.3,0.0
17,Hospitals,200000.0,199771.9,2.9,224.5,8000.0,221.6,3.0,0.0,3.6,0.0,1.0,500.0,113.5,1.5,1.5,1.5,1.9,0.0
18,Hospitals,200000.0,199658.4,4.4,336.1,8500.0,331.7,4.5,0.0,5.5,0.0,1.0,500.0,169.7,2.2,2.2,2.2,2.9,0.0
19,Hospitals,200000.0,199488.7,6.6,502.8,9000.0,496.2,6.7,0.0,8.5,0.0,1.0,500.0,253.6,3.3,3.3,3.3,4.4,0.0
20,Hospitals,200000.0,199235.2,9.9,751.9,9500.0,742.0,10.1,0.0,12.9,0.0,1.0,500.0,378.7,5.0,5.0,5.0,6.7,0.0
21,Hospitals,200000.0,198856.4,14.8,1124.0,10000.0,1109.2,15.1,0.0,19.6,0.0,1.0,500.0,565.1,7.5,7.5,7.5,10.0,0.0
22,Hospitals,200000.0,198291.3,22.2,1679.2,10500.0,1657.0,22.6,0.0,29.6,0.0,1.0,500.0,842.1,11.2,11.2,11.2,15.0,0.0
23,Hospitals,200000.0,197449.1,33.2,2506.3,11000.0,2473.1,33.7,0.0,44.6,0.0,1.0,500.0,1252.3,16.7,16.7,16.7,22.4,0.0
24,Hospitals,200000.0,196196.8,49.6,3736.2,11500.0,3686.6,50.4,0.0,67.0,0.0,1.0,500.0,1856.6,24.9,24.9,24.9,33.6,0.0
25,Hospitals,200000.0,194340.2,74.0,5559.2,12000.0,5485.2,75.3,0.0,100.5,0.0,1.0,500.0,2739.9,37.0,37.0,37.0,50.2,0.0
