,Code,Country,Severities,Trigger Dates,Score,Long Sev,Long Trig,Method
0,AF,Afghanistan,"[0.0, 1.0, 0.9, 0.5, 0.8, 0.85, 0.95, 1.0, 0.95, 0.85, 0.75, 0.85, 0.9, 0.95, 1.0, 0.9, 0.75, 0.8, 0.75, 0.7, 0.85, 0.9, 0.95, 1.0, 0.95, 0.8]","[1, 14, 93, 120, 143, 187, 215, 234, 247, 295, 322, 354, 369, 388, 415, 440, 467, 486, 520, 535, 556, 569, 588, 609, 632, 668]",0.008603487056851943,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 0.5, 0.8, 0.8, 0.85, 0.85, 0.95, 1.0, 0.95, 0.95, 0.85, 0.75, 0.75, 0.85, 0.9, 0.95, 1.0, 0.9, 0.75, 0.8, 0.8, 0.75, 0.7, 0.85, 0.9, 0.95, 1.0, 0.95, 0.95, 0.8]","[1, 14, 27, 40, 53, 66, 93, 120, 143, 170, 187, 194, 215, 234, 247, 272, 295, 322, 331, 354, 369, 388, 415, 440, 467, 486, 493, 520, 535, 556, 569, 588, 609, 632, 647, 668]",Old result good enough
1,AT,Austria,"[0.0, 1.0, 0.35, 0.8, 0.95, 0.9, 1.0, 0.75, 0.4, 0.3, 0.7, 0.8, 0.85, 0.8, 0.75, 0.8, 0.85, 0.8, 0.9, 0.85, 0.75, 0.65, 0.75, 0.65]","[1, 14, 87, 112, 131, 158, 208, 235, 262, 316, 337, 367, 413, 440, 463, 493, 520, 535, 550, 595, 610, 625, 653, 680]",0.010143939827122816,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.35, 0.8, 0.95, 0.9, 0.9, 1.0, 0.75, 0.4, 0.4, 0.3, 0.7, 0.7, 0.8, 0.8, 0.8, 0.8, 0.85, 0.8, 0.75, 0.75, 0.8, 0.85, 0.8, 0.9, 0.9, 0.9, 0.85, 0.75, 0.65, 0.65, 0.75, 0.65]","[1, 14, 27, 40, 53, 60, 87, 112, 131, 158, 185, 208, 235, 262, 289, 316, 337, 344, 367, 374, 381, 388, 413, 440, 463, 470, 493, 520, 535, 550, 565, 580, 595, 610, 625, 632, 653, 680]",Old result good enough
2,AO,Angola,"[0.0, 1.0, 0.6, 1.0, 0.7, 0.8, 0.7, 0.75, 0.9, 0.85, 0.8, 0.85, 0.9, 0.85, 0.9, 0.85, 0.7, 0.75, 0.85, 0.9, 0.85, 0.8, 0.85, 0.95]","[1, 14, 100, 119, 146, 173, 200, 217, 240, 265, 280, 291, 314, 357, 408, 468, 495, 506, 523, 540, 576, 603, 630, 663]",0.009553561793619724,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6, 1.0, 0.7, 0.8, 0.7, 0.75, 0.9, 0.85, 0.8, 0.85, 0.9, 0.9, 0.9, 0.9, 0.9, 0.85, 0.85, 0.85, 0.85, 0.85, 0.9, 0.9, 0.9, 0.9, 0.85, 0.7, 0.75, 0.85, 0.9, 0.9, 0.85, 0.8, 0.85, 0.85, 0.85, 0.95, 1.0]","[1, 14, 27, 40, 53, 66, 77, 100, 119, 146, 173, 200, 217, 240, 265, 280, 291, 314, 321, 328, 335, 342, 357, 364, 371, 380, 387, 408, 423, 430, 445, 468, 495, 506, 523, 540, 549, 576, 603, 630, 637, 644, 663, 688]",Old result good enough
3,DZ,Algeria,"[0.0, 1.0, 0.35, 0.85, 0.95, 0.85, 0.9, 0.85, 0.9, 0.85, 0.9, 0.85, 0.8, 0.9, 0.95, 0.9, 0.8, 0.9, 0.85, 0.8, 0.9, 0.95, 1.0, 0.95]","[1, 14, 87, 114, 133, 160, 187, 210, 237, 262, 285, 300, 325, 349, 368, 417, 485, 512, 550, 577, 613, 634, 655, 676]",0.013774542358777299,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.35, 0.85, 0.95, 0.85, 0.9, 0.85, 0.9, 0.85, 0.9, 0.85, 0.8, 0.8, 0.9, 0.95, 0.95, 0.95, 0.9, 0.9, 0.9, 0.9, 0.8, 0.9, 0.9, 0.85, 0.8, 0.8, 0.9, 0.95, 1.0, 0.9]","[1, 14, 27, 40, 53, 60, 87, 114, 133, 160, 187, 210, 237, 262, 285, 300, 325, 332, 349, 368, 383, 394, 417, 432, 447, 462, 485, 512, 523, 550, 577, 588, 613, 634, 655, 680]",Old result good enough
4,AZ,Azerbaijan,"[0.0, 1.0, 0.75, 0.9, 0.6, 0.8, 0.85, 0.9, 0.8, 0.85, 0.55, 0.75, 0.8, 0.85, 0.9, 0.65, 0.8, 0.9, 0.95, 0.65, 0.55, 0.6, 0.65, 0.85, 0.6]","[1, 14, 114, 141, 168, 187, 214, 227, 265, 284, 307, 330, 353, 372, 393, 442, 482, 501, 543, 570, 589, 607, 614, 635, 672]",0.013569778883947104,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.75, 0.9, 0.6, 0.8, 0.85, 0.9, 0.9, 0.8, 0.85, 0.55, 0.75, 0.8, 0.85, 0.9, 0.9, 0.9, 0.65, 0.65, 0.65, 0.65, 0.8, 0.9, 0.9, 0.95, 0.65, 0.55, 0.55, 0.6, 0.65, 0.85, 0.85, 0.85, 0.65]","[1, 14, 27, 40, 53, 60, 87, 114, 141, 168, 187, 214, 227, 246, 265, 284, 307, 330, 353, 372, 393, 400, 415, 442, 449, 458, 465, 482, 501, 516, 543, 570, 589, 600, 607, 614, 635, 642, 649, 668]",Old result good enough
5,AU,Australia,"[0.0, 1.0, 0.55, 0.5, 0.85, 0.9, 1.0, 0.05, 0.65, 0.8, 0.9, 0.95, 1.0, 0.9, 1.0, 0.95, 1.0, 0.6, 0.55, 0.75, 0.8, 0.75, 0.7]","[1, 14, 76, 93, 116, 133, 156, 200, 223, 242, 263, 278, 295, 337, 352, 472, 502, 562, 577, 602, 638, 651, 683]",0.008458122257392968,"[0.0, 1.0, 1.0, 1.0, 1.0, 0.55, 0.5, 0.85, 0.9, 1.0, 1.0, 0.05, 0.65, 0.8, 0.9, 0.95, 1.0, 1.0, 0.9, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 0.95, 1.0, 1.0, 1.0, 1.0, 0.6, 0.55, 0.75, 0.75, 0.75, 0.75, 0.8, 0.75, 0.75, 0.75, 0.7]","[1, 14, 27, 40, 49, 76, 93, 116, 133, 156, 175, 200, 223, 242, 263, 278, 295, 310, 337, 352, 367, 382, 397, 412, 427, 442, 457, 472, 487, 502, 517, 532, 547, 562, 577, 602, 609, 616, 623, 638, 651, 658, 665, 684]",Old result good enough
6,AM,Armenia,"[0.0, 1.0, 0.85, 0.6, 0.8, 0.85, 0.9, 0.85, 0.8, 0.6, 0.75, 0.8, 0.85, 0.8, 0.85, 0.8, 0.6, 0.75, 0.8, 0.85, 0.9, 0.8, 0.7, 0.75, 0.65, 0.7, 0.75, 0.65, 0.7]","[1, 14, 100, 154, 177, 192, 236, 247, 272, 297, 322, 335, 369, 409, 424, 431, 450, 473, 488, 509, 536, 553, 572, 587, 604, 623, 643, 662, 687]",0.00789777218340825,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.85, 0.85, 0.6, 0.8, 0.85, 0.85, 0.9, 0.85, 0.8, 0.6, 0.75, 0.8, 0.8, 0.85, 0.85, 0.8, 0.85, 0.8, 0.6, 0.75, 0.8, 0.85, 0.9, 0.8, 0.7, 0.75, 0.65, 0.7, 0.7, 0.75, 0.65, 0.7]","[1, 14, 27, 40, 53, 66, 73, 100, 127, 154, 177, 192, 215, 236, 247, 272, 297, 322, 335, 342, 369, 384, 409, 424, 431, 450, 473, 488, 509, 536, 553, 572, 587, 604, 623, 630, 643, 662, 687]",Old result good enough
7,BH,Bahrain,"[0.0, 1.0, 0.45, 0.9, 0.7, 0.05, 0.15, 0.3, 0.75, 0.8, 0.75, 0.7, 0.6, 0.75, 0.9, 0.75, 0.35, 0.5, 0.8, 0.55, 0.7, 0.5, 0.75, 0.9, 0.95, 0.55, 0.9, 0.6, 0.4, 0.6]","[1, 14, 91, 112, 139, 158, 165, 172, 193, 202, 223, 246, 274, 304, 325, 352, 390, 420, 441, 468, 495, 514, 533, 554, 571, 613, 628, 643, 658, 673]",0.013284489252964982,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.45, 0.9, 0.7, 0.05, 0.15, 0.3, 0.75, 0.8, 0.75, 0.7, 0.7, 0.6, 0.6, 0.75, 0.9, 0.75, 0.75, 0.35, 0.35, 0.5, 0.8, 0.55, 0.7, 0.5, 0.75, 0.9, 0.95, 0.95, 0.55, 0.9, 0.6, 0.4, 0.6]","[1, 14, 27, 40, 53, 64, 91, 112, 139, 158, 165, 172, 193, 202, 223, 246, 255, 274, 281, 304, 325, 352, 367, 390, 397, 420, 441, 468, 495, 514, 533, 554, 571, 586, 613, 628, 643, 658, 673]",Old result good enough
8,BW,Botswana,"[0.0, 1.0, 0.75, 0.95, 0.85, 0.75, 0.8, 0.0, 0.75, 0.8, 0.85, 0.95, 0.75, 0.8, 0.7, 0.8, 0.7, 0.8, 0.9, 0.7]","[1, 14, 257, 284, 311, 338, 365, 392, 413, 426, 447, 489, 508, 527, 548, 565, 588, 603, 622, 664]",0.014316354568748654,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.75, 0.95, 0.85, 0.75, 0.8, 0.0, 0.75, 0.8, 0.85, 0.85, 0.95, 0.75, 0.8, 0.7, 0.8, 0.7, 0.8, 0.9, 0.9, 0.7, 0.7]","[1, 14, 27, 40, 53, 66, 79, 106, 113, 120, 127, 134, 141, 148, 155, 162, 169, 176, 203, 230, 257, 284, 311, 338, 365, 392, 413, 426, 447, 464, 489, 508, 527, 548, 565, 588, 603, 622, 637, 664, 679]",Old result good enough
9,BD,Bangladesh,"[0.0, 1.0, 0.9, 0.35, 0.8, 0.75, 0.85, 0.9, 0.85, 0.8, 0.85, 0.9, 0.85, 0.9, 0.65, 0.75, 0.9, 0.7, 0.8, 0.85, 0.9, 0.95, 0.9, 0.9]","[1, 14, 93, 110, 129, 148, 184, 282, 307, 334, 358, 383, 415, 428, 453, 476, 497, 542, 569, 591, 608, 625, 640, 670]",0.010398843744346596,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 0.35, 0.8, 0.75, 0.75, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.9, 0.85, 0.8, 0.8, 0.85, 0.9, 0.9, 0.85, 0.9, 0.65, 0.75, 0.9, 0.9, 0.9, 0.7, 0.8, 0.8, 0.85, 0.9, 0.95, 0.9, 0.9, 0.9]","[1, 14, 27, 40, 53, 66, 93, 110, 129, 148, 159, 184, 191, 198, 205, 212, 219, 226, 247, 254, 261, 282, 307, 334, 341, 358, 383, 390, 415, 428, 453, 476, 497, 504, 515, 542, 569, 576, 591, 608, 625, 640, 655, 670]",Old result good enough
