BT,Bhutan,[0.0],[1],0.0736519607843137,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 15, 29, 43, 57, 71, 85, 99, 113, 127, 141, 155, 169, 183, 197, 211, 225, 239, 253, 267, 281, 295, 309, 323, 337, 351, 365, 379, 393, 407, 421, 435, 449, 463, 477]"
BO,Bolivia,"[0.0, 1.0, 0.35, 0.8, 0.75, 0.8, 0.85, 0.8, 1.0, 0.9, 0.95, 0.9, 0.65, 0.6, 0.75, 0.85, 0.9, 0.8, 0.75]","[1, 15, 125, 148, 175, 198, 220, 254, 286, 301, 328, 342, 369, 385, 406, 425, 442, 460, 477]",0.03413047939592493,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.35, 0.8, 0.75, 0.8, 0.85, 0.85, 0.8, 0.8, 1.0, 0.9, 0.95, 0.9, 0.65, 0.6, 0.75, 0.85, 0.9, 0.8, 0.75]","[1, 15, 29, 43, 57, 71, 98, 125, 148, 175, 198, 220, 239, 254, 268, 286, 301, 328, 342, 369, 385, 406, 425, 442, 460, 477]"
BA,Bosnia and Herzegovina,"[0.0, 1.0, 0.7, 0.8, 1.0, 0.55, 0.8, 0.85, 0.75, 0.7, 0.85, 0.9, 0.8, 0.65, 0.7, 0.8]","[1, 15, 125, 152, 173, 200, 222, 249, 303, 325, 351, 401, 418, 443, 469, 489]",0.0461211528885296,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7, 0.8, 1.0, 0.55, 0.8, 0.85, 0.85, 0.75, 0.7, 0.85, 0.85, 0.9, 0.8, 0.65, 0.7, 0.8]","[1, 15, 29, 43, 57, 71, 98, 125, 152, 173, 200, 222, 249, 276, 303, 325, 351, 374, 401, 418, 443, 469, 489]"
BW,Botswana,"[0.0, 1.0, 0.0, 1.0, 0.25, 0.9, 0.05, 0.7, 0.8, 0.85, 0.95]","[1, 15, 253, 301, 328, 349, 376, 403, 417, 449, 492]",0.07938934021325189,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.25, 0.9, 0.05, 0.7, 0.8, 0.8, 0.85, 0.85, 0.95]","[1, 15, 29, 43, 57, 71, 85, 112, 129, 143, 157, 171, 185, 199, 226, 253, 280, 301, 328, 349, 376, 403, 417, 431, 449, 465, 492]"
BR,Brazil,"[0.0, 1.0, 0.65, 0.0, 0.7, 0.75, 0.85, 0.8, 0.75, 0.8, 0.75, 0.8, 0.7, 0.75]","[1, 15, 84, 98, 125, 146, 167, 330, 354, 373, 387, 414, 435, 488]",0.029088706704905036,"[0.0, 1.0, 1.0, 1.0, 1.0, 0.65, 0.0, 0.7, 0.75, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.8, 0.75, 0.8, 0.75, 0.8, 0.7, 0.7, 0.7, 0.75]","[1, 15, 29, 43, 57, 84, 98, 125, 146, 167, 184, 198, 212, 227, 241, 255, 273, 291, 309, 330, 354, 373, 387, 414, 435, 449, 465, 488]"
BN,Brunei,"[0.0, 1.0, 0.0, 1.0, 0.2, 0.9, 1.0, 0.85, 1.0, 0.95, 1.0, 0.9, 1.0, 0.9, 1.0]","[1, 15, 85, 123, 156, 179, 203, 257, 275, 365, 383, 401, 419, 437, 455]",0.040759564849002845,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.2, 0.9, 1.0, 1.0, 0.85, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 1.0, 0.9, 1.0, 0.9, 1.0, 1.0]","[1, 15, 29, 43, 57, 71, 85, 99, 123, 142, 156, 179, 203, 230, 257, 275, 293, 311, 329, 347, 365, 383, 401, 419, 437, 455, 473]"
BG,Bulgaria,"[0.0, 1.0, 0.25, 0.95, 0.75, 0.85, 0.9, 0.6, 0.7, 0.8, 0.9, 0.85, 0.7, 0.75, 0.8]","[1, 15, 152, 174, 201, 228, 282, 304, 329, 349, 374, 395, 438, 460, 483]",0.038585500078769236,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.25, 0.95, 0.75, 0.85, 0.85, 0.9, 0.6, 0.7, 0.8, 0.9, 0.85, 0.85, 0.7, 0.75, 0.8]","[1, 15, 29, 43, 57, 71, 98, 125, 152, 174, 201, 228, 255, 282, 304, 329, 349, 374, 395, 415, 438, 460, 483]"
BF,Burkina Faso,"[0.0, 1.0, 0.95, 0.0, 1.0, 0.0, 0.55, 0.6, 1.0, 0.85, 0.5, 0.8, 0.95, 1.0, 0.7, 0.95]","[1, 16, 58, 72, 130, 238, 265, 292, 316, 343, 360, 380, 422, 443, 465, 492]",0.06117217912224153,"[0.0, 1.0, 1.0, 1.0, 0.95, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.55, 0.6, 1.0, 0.85, 0.5, 0.8, 0.8, 0.95, 1.0, 0.7, 0.95]","[1, 16, 30, 44, 58, 72, 86, 109, 130, 157, 184, 211, 238, 265, 292, 316, 343, 360, 380, 399, 422, 443, 465, 492]"
BI,Burundi,"[0.0, 1.0, 0.95, 1.0, 0.0, 1.0, 0.95, 1.0, 0.95, 1.0, 0.75, 1.0, 0.0, 0.9, 0.95]","[1, 15, 43, 57, 99, 138, 236, 250, 264, 278, 292, 306, 357, 461, 488]",0.2111915266106445,"[0.0, 1.0, 1.0, 0.95, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 1.0, 0.95, 1.0, 0.75, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9, 0.95]","[1, 15, 29, 43, 57, 71, 85, 99, 113, 138, 152, 166, 180, 194, 208, 222, 236, 250, 264, 278, 292, 306, 320, 334, 357, 371, 385, 399, 413, 440, 461, 488]"
KH,Cambodia,"[0.0, 1.0, 0.95, 1.0, 0.9, 1.0, 0.95, 1.0, 0.95, 1.0, 0.95, 1.0, 0.9, 0.0]","[1, 15, 99, 113, 127, 141, 169, 183, 351, 365, 379, 393, 421, 435]",0.01100738795518207,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 1.0, 0.9, 1.0, 1.0, 0.95, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 1.0, 0.95, 1.0, 1.0, 0.9, 0.0, 0.0, 0.0, 0.0]","[1, 15, 29, 43, 57, 71, 85, 99, 113, 127, 141, 155, 169, 183, 197, 211, 225, 239, 253, 267, 281, 295, 309, 323, 337, 351, 365, 379, 393, 407, 421, 435, 449, 463, 477]"
CM,Cameroon,"[0.0, 1.0, 0.0, 0.7, 0.85, 0.9, 0.85, 0.95, 0.9, 0.95, 0.9, 0.95, 0.75, 0.8, 0.85, 0.95, 0.55, 0.65, 0.8, 0.75, 0.9]","[1, 15, 98, 122, 146, 162, 176, 203, 217, 231, 247, 266, 284, 299, 334, 370, 387, 414, 433, 460, 483]",0.055394169837764184,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.7, 0.85, 0.9, 0.85, 0.95, 0.9, 0.95, 0.9, 0.95, 0.75, 0.8, 0.8, 0.85, 0.85, 0.95, 0.55, 0.65, 0.8, 0.75, 0.9]","[1, 15, 29, 43, 57, 84, 98, 122, 146, 162, 176, 203, 217, 231, 247, 266, 284, 299, 316, 334, 352, 370, 387, 414, 433, 460, 483]"
