BT,Bhutan,[0.0],[1],0.0,Result good without reoptimization
BO,Bolivia,"[0.0, 1.0, 0.65, 0.75, 0.8, 0.75, 0.8, 0.85, 0.8, 0.85, 1.0, 0.9, 0.95, 0.9, 0.55, 0.7, 0.85, 0.9, 0.8, 0.75, 0.65, 0.75, 0.85, 0.8, 0.75]","[1, 12, 102, 121, 171, 190, 199, 220, 254, 268, 287, 300, 330, 339, 375, 400, 421, 438, 461, 478, 512, 537, 562, 583, 604]",0.07409748532280852,Re-optimized;
BA,Bosnia and Herzegovina,"[0.0, 1.0, 0.7, 0.85, 0.8, 0.9, 1.0, 0.7, 0.75, 0.85, 0.65, 0.8, 0.85, 0.9, 0.85, 0.8, 0.65, 0.75, 0.85, 0.75, 0.9, 1.0, 0.6, 0.35]","[1, 12, 100, 119, 138, 151, 168, 189, 216, 241, 310, 337, 360, 386, 399, 423, 444, 476, 497, 529, 555, 566, 589, 610]",0.0513624167089969,Re-optimized;
BW,Botswana,"[0.0, 1.0, 0.8, 0.85, 1.0, 0.7, 0.6, 0.7, 0.45, 0.55, 0.6, 0.9, 0.85, 0.8, 0.75, 0.7, 0.75, 0.7, 0.6, 0.25, 0.3, 0.75, 0.8, 0.85, 0.9, 0.75, 0.8, 0.65, 0.8]","[1, 12, 97, 106, 123, 213, 224, 231, 238, 252, 259, 280, 298, 309, 324, 338, 345, 361, 368, 377, 384, 403, 420, 449, 485, 515, 563, 584, 607]",0.08826608474268047,Re-optimized;
BR,Brazil,"[0.0, 1.0, 0.05, 0.55, 0.7, 0.8, 0.85, 0.75, 0.8, 0.75, 0.8, 0.7, 0.75, 0.65, 0.7, 0.65, 0.6]","[1, 12, 85, 112, 131, 152, 171, 338, 361, 382, 418, 437, 485, 536, 569, 576, 595]",0.050323278635825155,Re-optimized;
BN,Brunei,"[0.0, 1.0, 0.0, 1.0, 0.2, 0.9, 1.0, 0.9, 1.0, 0.95, 1.0, 0.95, 1.0, 0.95, 1.0, 0.8]","[1, 15, 85, 123, 156, 179, 202, 256, 274, 346, 364, 418, 436, 454, 472, 488]",0.0042881052002390705,Result good without reoptimization
BG,Bulgaria,"[0.0, 1.0, 0.85, 0.8, 0.85, 0.9, 0.85, 0.8, 0.85, 0.9, 0.7, 0.65, 0.75, 0.85, 0.9, 0.85, 0.75, 0.7, 0.75, 0.8, 0.85, 0.45]","[1, 12, 93, 112, 129, 156, 173, 211, 247, 274, 297, 316, 339, 360, 381, 400, 430, 451, 458, 481, 504, 599]",0.041177472712190466,Re-optimized;
BF,Burkina Faso,"[0.0, 0.95, 1.0, 0.85, 0.0, 0.9, 1.0, 0.0, 0.95, 0.55, 0.9, 1.0, 0.55, 0.8, 0.95, 1.0, 0.65, 0.85, 0.9, 1.0, 0.95, 0.8]","[1, 12, 19, 66, 73, 126, 143, 224, 249, 276, 303, 320, 347, 377, 418, 437, 460, 481, 504, 527, 554, 581]",0.06552778530767125,Re-optimized;
BI,Burundi,"[0.0, 0.9, 1.0, 0.9, 1.0, 0.95, 0.0, 0.4, 1.0, 0.95, 1.0, 0.65, 1.0, 0.9, 1.0, 0.9, 0.0, 0.1, 1.0, 0.7, 0.8, 1.0, 0.65, 0.85, 1.0, 0.55, 0.85, 1.0, 0.05, 0.85]","[1, 12, 19, 48, 57, 90, 97, 118, 137, 162, 177, 204, 217, 307, 322, 337, 351, 365, 386, 406, 415, 434, 445, 462, 479, 521, 540, 557, 578, 599]",0.014664136622390887,Result good without reoptimization
KH,Cambodia,"[0.0, 1.0, 0.95, 1.0, 0.65, 0.45, 0.35, 0.4, 0.65, 0.7, 0.75, 0.85, 0.75, 0.7, 0.8, 0.9]","[1, 12, 129, 144, 432, 439, 448, 455, 472, 481, 488, 509, 526, 546, 563, 586]",0.058522634860395814,Re-optimized;
CM,Cameroon,"[0.0, 1.0, 0.25, 0.45, 0.5, 0.7, 0.85, 0.9, 0.85, 0.95, 0.9, 0.95, 0.85, 0.95, 0.7, 0.75, 0.85, 0.95, 0.5, 0.65, 0.6, 0.75, 0.85, 0.65, 0.9, 0.85, 0.9, 0.95, 1.0, 0.9, 0.35]","[1, 12, 86, 93, 107, 126, 143, 156, 173, 203, 214, 223, 248, 265, 286, 305, 326, 369, 386, 402, 415, 430, 439, 456, 477, 504, 519, 526, 559, 570, 613]",0.13737160945260066,Re-optimized;
CA,Canada,"[0.0, 1.0, 0.0, 0.7, 0.9, 0.95, 0.9, 0.85, 0.8, 0.75, 0.6, 0.75, 0.7, 0.75, 0.8, 0.75, 0.85, 0.9, 0.8, 0.7, 0.65, 0.7, 0.75, 0.8, 0.65]","[1, 12, 89, 116, 143, 168, 202, 225, 250, 263, 276, 299, 326, 341, 368, 389, 406, 431, 442, 470, 502, 519, 536, 559, 607]",0.06105355417453542,Re-optimized;
CV,Cabo Verde,"[0.0, 1.0, 0.85, 0.9, 0.95, 0.8, 0.85, 0.8, 0.7, 0.85, 0.9, 0.8, 0.9, 0.75, 0.9, 0.95, 0.85, 0.75, 0.8, 0.4, 0.85, 0.8, 0.75, 0.8, 0.9, 0.75, 0.8, 0.85, 0.5]","[1, 12, 84, 99, 106, 138, 155, 162, 180, 197, 208, 225, 249, 268, 305, 324, 341, 362, 369, 386, 407, 456, 471, 498, 517, 540, 567, 589, 610]",0.044090268365410634,Re-optimized;
CF,Central African Republic,"[0.0, 1.0, 0.95, 1.0, 0.95, 1.0, 0.9, 1.0, 0.0, 0.95, 1.0, 0.85, 1.0, 0.0, 1.0, 0.95, 0.0, 0.9, 1.0, 0.0]","[1, 12, 32, 41, 61, 70, 116, 127, 141, 201, 212, 239, 266, 320, 347, 428, 443, 512, 527, 596]",0.0978595825426945,Re-optimized;
TD,Chad,"[0.0, 0.9, 1.0, 0.95, 1.0, 0.95, 1.0, 0.95, 1.0, 0.9, 0.0, 1.0, 0.85, 0.75, 0.8, 0.9, 1.0, 0.85, 0.55, 0.8, 0.85, 0.9, 0.95, 1.0]","[1, 12, 19, 50, 59, 72, 79, 92, 99, 106, 113, 168, 222, 249, 276, 303, 330, 357, 378, 397, 414, 452, 469, 550]",0.11439034968826242,Re-optimized;
CL,Chile,"[0.0, 1.0, 0.4, 0.8, 0.65, 0.6, 0.85, 0.9, 0.85, 0.8, 0.85, 0.8, 0.75, 0.8, 0.75, 0.8, 0.7, 0.75, 0.8]","[1, 12, 98, 121, 146, 161, 188, 234, 249, 276, 303, 328, 397, 424, 443, 503, 520, 562, 596]",0.05437540183996031,Re-optimized;
CN,China,"[0.0, 1.0, 0.0, 0.9, 1.0, 0.45, 0.7, 1.0, 0.85, 0.75, 0.95, 1.0, 0.65, 0.9, 1.0]","[1, 12, 46, 73, 92, 113, 124, 141, 210, 227, 248, 273, 357, 378, 426]",0.5450541654650649,Re-optimized;
CO,Colombia,"[0.0, 1.0, 0.35, 0.8, 0.75, 0.8, 0.85, 0.9, 0.85, 0.8, 0.85, 0.8, 0.75, 0.85, 0.65, 0.75, 0.7, 0.65, 0.7, 0.75]","[1, 12, 96, 121, 172, 212, 239, 267, 284, 311, 340, 351, 374, 412, 464, 511, 530, 551, 568, 595]",0.03576799797336416,Re-optimized;
