BT,Bhutan,[0.0],[1],0.0,Result good without reoptimization,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 15, 29, 43, 57, 71, 85, 99, 113, 127, 141, 155, 169, 183, 197, 211, 225, 239, 253, 267, 281, 295, 309, 323, 337, 351, 365, 379, 393, 407, 421, 435, 449, 463, 477, 491]"
BO,Bolivia,"[0.0, 1.0, 0.7, 0.75, 0.8, 0.75, 0.8, 0.85, 0.8, 0.85, 1.0, 0.9, 0.95, 0.9, 0.55, 0.7, 0.85, 0.9, 0.8, 0.75, 0.6, 0.7, 0.75, 0.8, 0.7, 0.65, 0.7]","[1, 12, 100, 119, 169, 189, 198, 219, 255, 268, 287, 300, 323, 340, 374, 399, 422, 441, 458, 477, 515, 534, 553, 570, 587, 604, 625]",0.06593156169018956,Re-optimized;,"[0.0, 1.0, 1.0, 1.0, 1.0, 0.7, 0.75, 0.75, 0.8, 0.8, 0.75, 0.8, 0.85, 0.85, 0.85, 0.85, 0.8, 0.85, 1.0, 0.9, 0.95, 0.9, 0.9, 0.55, 0.7, 0.85, 0.9, 0.8, 0.75, 0.75, 0.6, 0.7, 0.75, 0.8, 0.7, 0.65, 0.7]","[1, 12, 39, 66, 85, 100, 119, 146, 169, 176, 189, 198, 219, 226, 233, 240, 255, 268, 287, 300, 323, 340, 347, 374, 399, 422, 441, 458, 477, 490, 515, 534, 553, 570, 587, 604, 625]"
BA,Bosnia and Herzegovina,"[0.0, 1.0, 0.7, 0.85, 0.8, 0.9, 1.0, 0.7, 0.75, 0.8, 0.85, 0.8, 0.65, 0.8, 0.85, 0.65, 0.75, 0.8, 0.7, 0.85, 1.0, 0.45, 0.05, 0.3]","[1, 12, 100, 117, 137, 150, 167, 188, 209, 232, 249, 293, 312, 335, 358, 437, 480, 495, 538, 555, 566, 587, 612, 637]",0.05761694897725508,Re-optimized;,"[0.0, 1.0, 1.0, 1.0, 1.0, 0.7, 0.85, 0.85, 0.8, 0.9, 1.0, 0.7, 0.75, 0.8, 0.85, 0.85, 0.8, 0.65, 0.8, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.65, 0.65, 0.65, 0.75, 0.8, 0.8, 0.8, 0.7, 0.85, 1.0, 0.45, 0.05, 0.3]","[1, 12, 39, 66, 83, 100, 117, 124, 137, 150, 167, 188, 209, 232, 249, 270, 293, 312, 335, 358, 367, 374, 381, 388, 405, 412, 437, 444, 459, 480, 495, 502, 517, 538, 555, 566, 587, 612, 637]"
BW,Botswana,"[0.0, 1.0, 0.75, 0.95, 0.85, 0.75, 0.85, 0.8, 0.4, 0.25, 0.35, 0.75, 0.8, 0.85, 0.8, 0.9, 0.75, 0.7, 0.75, 0.5, 0.35]","[1, 12, 254, 281, 308, 335, 358, 365, 372, 379, 386, 405, 432, 453, 470, 485, 512, 542, 564, 585, 619]",0.1082923030185866,Re-optimized;,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.75, 0.95, 0.85, 0.75, 0.85, 0.8, 0.4, 0.25, 0.35, 0.75, 0.75, 0.75, 0.8, 0.85, 0.8, 0.9, 0.75, 0.75, 0.7, 0.7, 0.75, 0.5, 0.5, 0.35]","[1, 12, 39, 66, 93, 108, 115, 122, 129, 136, 143, 150, 157, 164, 171, 178, 185, 212, 239, 254, 281, 308, 335, 358, 365, 372, 379, 386, 405, 412, 419, 432, 453, 470, 485, 512, 525, 542, 553, 564, 585, 600, 619]"
BR,Brazil,"[0.0, 1.0, 0.05, 0.55, 0.7, 0.8, 0.85, 0.8, 0.75, 0.8, 0.75, 0.7, 0.65, 0.7, 0.75, 0.65, 0.5, 0.45, 0.25, 0.0]","[1, 12, 85, 112, 129, 152, 169, 316, 343, 369, 378, 437, 459, 468, 495, 516, 539, 552, 577, 592]",0.04686750971774811,Re-optimized;,"[0.0, 1.0, 1.0, 1.0, 0.05, 0.55, 0.7, 0.8, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.85, 0.8, 0.75, 0.75, 0.8, 0.75, 0.75, 0.75, 0.7, 0.7, 0.65, 0.7, 0.75, 0.65, 0.5, 0.45, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0]","[1, 12, 39, 66, 85, 112, 129, 152, 169, 176, 183, 190, 197, 204, 211, 218, 225, 232, 239, 246, 273, 282, 289, 316, 343, 350, 369, 378, 385, 412, 437, 444, 459, 468, 495, 516, 539, 552, 577, 592, 599, 606, 613, 620]"
BN,Brunei,"[0.0, 1.0, 0.0, 1.0, 0.2, 0.9, 1.0, 0.9, 1.0, 0.95, 1.0, 0.95, 1.0, 0.95, 1.0, 0.8]","[1, 15, 85, 123, 156, 179, 202, 256, 274, 346, 364, 418, 436, 454, 472, 488]",0.005859832635983247,Result good without reoptimization,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.2, 0.9, 1.0, 1.0, 0.9, 1.0, 1.0, 1.0, 1.0, 0.95, 1.0, 1.0, 1.0, 0.95, 1.0, 0.95, 1.0, 0.8]","[1, 15, 29, 43, 57, 71, 85, 99, 123, 142, 156, 179, 202, 229, 256, 274, 292, 310, 328, 346, 364, 382, 400, 418, 436, 454, 472, 488]"
BG,Bulgaria,"[0.0, 1.0, 0.9, 0.8, 0.85, 0.9, 0.85, 0.8, 0.85, 0.9, 0.7, 0.65, 0.8, 0.85, 0.9, 0.85, 0.8, 0.7, 0.75, 0.8, 0.85, 0.8, 0.85, 0.4, 0.35, 0.5]","[1, 12, 93, 106, 127, 154, 171, 213, 247, 275, 296, 317, 344, 365, 386, 395, 420, 441, 464, 487, 512, 564, 575, 596, 607, 628]",0.03964740474425055,Re-optimized;,"[0.0, 1.0, 1.0, 1.0, 0.9, 0.8, 0.85, 0.9, 0.85, 0.85, 0.8, 0.8, 0.85, 0.85, 0.9, 0.7, 0.65, 0.8, 0.85, 0.9, 0.85, 0.8, 0.7, 0.75, 0.8, 0.85, 0.85, 0.85, 0.85, 0.8, 0.85, 0.4, 0.35, 0.5]","[1, 12, 39, 66, 93, 106, 127, 154, 171, 198, 213, 222, 247, 254, 275, 296, 317, 344, 365, 386, 395, 420, 441, 464, 487, 512, 525, 536, 543, 564, 575, 596, 607, 628]"
BF,Burkina Faso,"[0.0, 0.95, 1.0, 0.0, 0.95, 1.0, 0.0, 0.45, 0.9, 1.0, 0.4, 0.5, 0.8, 0.75, 0.8, 0.95, 1.0, 0.65, 0.85, 0.9, 1.0, 0.9, 0.85, 0.8, 0.95]","[1, 12, 19, 71, 126, 153, 234, 261, 303, 324, 349, 356, 379, 394, 401, 420, 445, 460, 481, 508, 529, 556, 583, 610, 619]",0.06843294723294703,Re-optimized;,"[0.0, 0.95, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.95, 1.0, 1.0, 1.0, 0.0, 0.45, 0.45, 0.9, 1.0, 0.4, 0.5, 0.8, 0.75, 0.8, 0.95, 1.0, 0.65, 0.85, 0.9, 1.0, 0.9, 0.85, 0.8, 0.95]","[1, 12, 19, 26, 39, 46, 57, 64, 71, 78, 85, 92, 99, 126, 153, 180, 207, 234, 261, 282, 303, 324, 349, 356, 379, 394, 401, 420, 445, 460, 481, 508, 529, 556, 583, 610, 619]"
BI,Burundi,"[0.0, 0.9, 1.0, 0.9, 1.0, 0.95, 0.0, 0.4, 1.0, 0.95, 1.0, 0.65, 1.0, 0.9, 1.0, 0.9, 0.0, 0.1, 1.0, 0.7, 0.8, 1.0, 0.65, 0.85, 1.0, 0.55, 0.85, 1.0, 0.05, 0.85]","[1, 12, 19, 48, 57, 90, 97, 118, 137, 162, 177, 204, 217, 307, 322, 337, 351, 365, 386, 406, 415, 434, 445, 462, 479, 521, 540, 557, 578, 599]",0.014306306306306296,Result good without reoptimization,"[0.0, 0.9, 1.0, 1.0, 1.0, 0.9, 1.0, 1.0, 1.0, 0.95, 0.0, 0.0, 0.0, 0.4, 1.0, 0.95, 1.0, 0.65, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 1.0, 0.9, 0.9, 0.0, 0.0, 0.1, 1.0, 1.0, 0.7, 0.8, 1.0, 0.65, 0.85, 1.0, 1.0, 1.0, 1.0, 0.55, 0.85, 1.0, 1.0, 1.0, 0.05, 0.85]","[1, 12, 19, 26, 35, 48, 57, 70, 77, 90, 97, 104, 111, 118, 137, 162, 177, 204, 217, 232, 247, 262, 277, 292, 307, 322, 337, 344, 351, 358, 365, 386, 393, 406, 415, 434, 445, 462, 479, 486, 501, 510, 521, 540, 557, 564, 571, 578, 599]"
KH,Cambodia,"[0.0, 1.0, 0.5, 0.65, 0.8, 0.85, 0.7, 0.75, 0.85, 0.9, 0.85]","[1, 12, 453, 472, 495, 513, 530, 557, 578, 605, 626]",0.1034491410251943,Re-optimized;,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.65, 0.8, 0.8, 0.85, 0.7, 0.75, 0.85, 0.9, 0.85]","[1, 12, 39, 66, 89, 104, 119, 138, 153, 168, 183, 198, 213, 228, 243, 258, 273, 288, 303, 318, 333, 348, 363, 378, 405, 432, 453, 472, 495, 502, 513, 530, 557, 578, 605, 626]"
CM,Cameroon,"[0.0, 1.0, 0.25, 0.45, 0.5, 0.7, 0.85, 0.9, 0.85, 0.95, 0.9, 0.95, 0.85, 0.95, 0.6, 0.8, 0.85, 0.95, 0.45, 0.4, 0.55, 0.75, 0.8, 0.75, 0.7, 0.9, 0.85, 0.9, 1.0, 0.9, 0.7, 0.75]","[1, 12, 86, 93, 107, 124, 143, 156, 173, 203, 214, 223, 246, 265, 286, 305, 328, 370, 387, 394, 401, 431, 438, 445, 458, 481, 504, 519, 544, 570, 606, 619]",0.14099801000376483,Re-optimized;,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.25, 0.45, 0.45, 0.5, 0.7, 0.85, 0.9, 0.85, 0.85, 0.95, 0.9, 0.95, 0.85, 0.95, 0.6, 0.8, 0.85, 0.85, 0.95, 0.45, 0.4, 0.55, 0.55, 0.75, 0.8, 0.75, 0.7, 0.9, 0.85, 0.9, 1.0, 1.0, 0.9, 0.9, 0.9, 0.9, 0.7, 0.75]","[1, 12, 27, 42, 57, 72, 79, 86, 93, 100, 107, 124, 143, 156, 173, 182, 203, 214, 223, 246, 265, 286, 305, 328, 351, 370, 387, 394, 401, 414, 431, 438, 445, 458, 481, 504, 519, 544, 551, 570, 577, 586, 593, 606, 619]"
