KM,Comoros,"[0.0, 1.0, 0.0, 0.35, 0.85, 1.0, 0.7, 0.75, 0.0, 1.0, 0.0, 0.65, 1.0]","[1, 14, 135, 162, 187, 202, 347, 354, 361, 444, 558, 579, 596]",0.8730206170631609,Re-optimized;
CG,Congo (Brazzaville),"[0.0, 1.0, 0.0, 0.15, 0.85, 0.8, 0.95, 0.7, 1.0, 0.75, 0.95, 0.45, 0.75, 0.85, 0.9, 0.85, 0.9, 0.85, 0.7, 0.85, 0.8, 0.9, 0.8, 0.85, 1.0, 0.8, 0.6]","[1, 14, 94, 121, 144, 184, 205, 232, 262, 296, 320, 341, 360, 377, 396, 423, 450, 469, 486, 503, 541, 558, 575, 582, 599, 614, 639]",0.18438574232966107,Re-optimized;
CD,Congo (Kinshasa),"[0.0, 1.0, 0.05, 0.85, 0.9, 0.8, 0.85, 0.8, 0.95, 0.85, 1.0, 0.95, 0.75, 0.8, 0.95, 0.85, 0.55, 0.8, 1.0, 0.95, 0.9, 0.8, 0.95, 0.8, 0.95, 0.55, 0.8, 0.9, 0.95, 1.0, 0.95, 0.9, 0.8, 0.9]","[1, 14, 93, 114, 125, 142, 153, 178, 197, 231, 261, 272, 294, 303, 324, 343, 358, 373, 392, 411, 434, 457, 474, 493, 512, 529, 548, 563, 580, 601, 608, 621, 636, 653]",0.11532340338545266,Re-optimized;
CR,Costa Rica,"[0.0, 1.0, 0.3, 0.8, 0.85, 0.75, 0.85, 0.8, 0.75, 0.8, 0.85, 0.75, 0.7, 0.8, 0.85, 0.75, 0.65, 0.6, 0.7]","[1, 14, 201, 226, 253, 266, 293, 320, 347, 381, 406, 448, 475, 525, 553, 566, 587, 621, 638]",0.04540491000190789,Re-optimized;
CI,Cote d'Ivoire,"[0.0, 1.0, 0.15, 0.85, 0.9, 0.75, 0.85, 0.9, 0.75, 0.8, 0.95, 1.0, 0.85, 0.25, 0.35, 0.55, 0.9, 0.75, 0.7, 0.8, 0.9, 0.85, 0.9, 0.8, 0.65, 0.8, 0.85, 0.9]","[1, 14, 104, 125, 159, 174, 195, 222, 239, 248, 270, 279, 293, 300, 307, 318, 339, 373, 396, 423, 484, 497, 533, 558, 592, 619, 636, 653]",0.07713791327038343,Re-optimized;
HR,Croatia,"[0.0, 1.0, 0.6, 0.95, 1.0, 0.75, 0.9, 0.65, 0.75, 0.5, 0.7, 0.75, 0.8, 0.85, 0.75, 0.65, 0.75, 0.8, 0.85, 0.9, 0.75, 0.7, 0.55, 0.7]","[1, 14, 120, 143, 162, 210, 237, 258, 279, 304, 325, 350, 371, 426, 453, 474, 493, 508, 525, 565, 582, 601, 620, 643]",0.046091972800256495,Re-optimized;
CU,Cuba,"[0.0, 1.0, 0.65, 1.0, 0.75, 0.95, 1.0, 0.85, 0.45, 0.8, 0.7, 0.8, 0.4, 0.65, 0.75, 0.45, 0.75, 0.8, 0.7, 0.75]","[1, 14, 120, 143, 261, 280, 307, 361, 386, 411, 432, 459, 480, 505, 532, 557, 584, 611, 624, 641]",0.10247667749163553,Re-optimized;
CY,Cyprus,"[0.0, 1.0, 0.45, 0.95, 0.9, 1.0, 0.85, 1.0, 0.9, 0.65, 0.75, 0.55, 0.45, 0.7, 0.75, 0.8, 0.9, 0.5, 0.75, 0.85, 0.6, 0.65, 0.95, 1.0]","[1, 14, 100, 121, 175, 188, 229, 256, 269, 288, 297, 324, 351, 378, 401, 414, 435, 456, 508, 529, 575, 602, 634, 661]",0.07753860566620385,Re-optimized;
CZ,Czechia,"[0.0, 1.0, 0.5, 0.9, 0.95, 0.85, 0.7, 0.65, 0.3, 0.55, 0.8, 0.85, 0.7, 0.75, 0.65, 0.75, 0.8, 0.75, 0.8, 0.85, 0.9, 0.85, 0.75, 0.7]","[1, 14, 93, 120, 168, 193, 220, 247, 266, 289, 325, 344, 359, 401, 429, 456, 481, 492, 519, 561, 591, 606, 621, 643]",0.04190393022001605,Re-optimized;
DK,Denmark,"[0.0, 1.0, 0.35, 0.85, 0.95, 0.9, 1.0, 0.45, 0.7, 0.6, 0.55, 0.3, 0.65, 0.8, 0.9, 0.65, 0.9, 0.95, 0.8, 0.95, 1.0, 0.85, 0.45, 0.55, 0.75]","[1, 14, 89, 114, 139, 166, 191, 270, 289, 308, 335, 360, 385, 408, 425, 473, 498, 517, 534, 551, 568, 589, 623, 634, 653]",0.07640948925411473,Re-optimized;
DJ,Djibouti,"[0.0, 1.0, 0.0, 0.4, 0.65, 0.9, 0.95, 1.0, 0.85, 0.9, 0.75, 0.9, 1.0, 0.95, 1.0, 0.9, 0.0, 1.0, 0.0, 0.95, 0.9, 1.0, 0.75, 0.8, 0.85, 0.9, 0.3, 0.7]","[1, 14, 103, 130, 157, 176, 197, 208, 223, 238, 251, 268, 283, 355, 362, 380, 387, 430, 444, 525, 532, 567, 574, 581, 602, 611, 636, 655]",0.5463363719602771,Re-optimized;
DO,Dominican Republic,"[0.0, 1.0, 0.35, 0.8, 0.9, 0.8, 0.85, 0.8, 0.85, 0.95, 0.85, 0.75, 0.7, 0.75, 0.1, 0.2, 0.85, 0.8, 0.85, 0.65, 0.75, 0.9, 0.85, 0.8, 0.5]","[1, 14, 91, 114, 135, 175, 198, 219, 253, 285, 302, 327, 348, 371, 393, 400, 421, 459, 522, 543, 564, 583, 594, 609, 646]",0.06017037501938151,Re-optimized;
EC,Ecuador,"[0.0, 1.0, 0.15, 0.7, 0.65, 0.9, 0.95, 0.85, 0.9, 0.85, 0.55, 0.8, 1.0, 0.9, 0.75, 0.85, 0.9, 0.65, 0.8, 0.7, 0.8, 0.85, 0.25, 0.65, 1.0, 0.8]","[1, 14, 89, 110, 127, 150, 169, 182, 220, 239, 250, 267, 286, 299, 335, 354, 367, 390, 411, 482, 503, 524, 567, 582, 601, 626]",0.16194638457414048,Re-optimized;
