,dates,days,day1,population,susceptibles,isolated,isolatedinfected,infectednotisolated,infected,importedinfections,accumulatedinfected,tested_mit,confirmed,deaths,recovered,beta,susceptibleprop,newtested_mit,newimportedinfections,newinfected,newisolated,newisolatedinfected,newconfirmed,newrecovered,requireddxtests,actualdxtests,newdeaths,truepositives,falsepositives,truenegatives,falsenegatives,ppv,npv,incidence,prevalence,p_infected_all_simulated,p_infected_all,reff,positive rate,detection rate,actualdeaths,actualcases,actualnewtests_mit,actualnewdeaths,actualnewcases
0,2019-11-23,0,0,109580999.0,109580999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1,2019-11-24,3,3,109580999.0,109580999.0,0.0,0.0,30.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.737700903785336e-07,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
2,2019-11-25,6,6,109580999.0,109580969.0,0.0,0.0,60.0,60.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,5.475401807570672e-07,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
3,2019-11-26,9,9,109580999.0,109580939.0,0.0,0.0,90.0,90.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,8.213102711356008e-07,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
4,2019-11-27,12,12,109580999.0,109580909.0,0.0,0.0,120.0,120.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0950803615141343e-06,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
5,2019-11-28,15,15,109580999.0,109580868.637,0.0,0.0,160.363,160.363,0.0,160.363,0.0,0.0,0.0,0.0,0.0,3.0,0.0,30.0,10.363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,9.456931488642479e-08,1.4634197667790928e-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
6,2019-11-29,18,18,109580999.0,109580817.912,0.0,0.0,211.088,211.088,0.0,211.088,0.0,0.0,0.0,0.0,0.0,3.0,0.0,30.0,20.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.891295041031703e-07,1.9263193612607967e-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
7,2019-11-30,21,21,109580999.0,109580756.824,0.0,0.0,272.176,272.176,0.0,272.176,0.0,0.0,0.0,0.0,0.0,3.0,0.0,30.0,31.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.836988189895951e-07,2.483788270628925e-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
8,2019-12-01,24,24,109580999.0,109580685.373,0.0,0.0,343.627,343.627,0.0,343.627,0.0,0.0,0.0,0.0,0.0,3.0,0.0,30.0,41.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3.7826813387601986e-07,3.135826494883479e-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
9,2019-12-02,27,27,109580999.0,109580599.97999999,0.0,0.0,429.021,429.021,0.0,429.021,0.0,0.0,0.0,0.0,0.0,3.0,0.0,30.0,55.393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.054982205446037e-07,3.915103931476296e-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
10,2019-12-03,30,30,109580999.0,109580497.064,0.0,0.0,531.9359999999999,531.9359999999999,0.0,531.9359999999999,0.0,0.0,0.0,0.0,0.0,3.0,0.0,30.0,72.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,6.654073303347052e-07,4.854272226519854e-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
11,2019-12-04,33,33,109580999.0,109580373.04500002,0.0,0.0,655.955,655.955,0.0,655.955,0.0,0.0,0.0,0.0,0.0,3.0,0.0,30.0,94.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,8.579863375766451e-07,5.986028654475034e-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
12,2019-12-05,36,36,109580999.0,109580224.345,0.0,0.0,804.656,804.656,0.0,804.656,0.0,0.0,0.0,0.0,0.0,3.0,0.0,30.0,118.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0832169909310646e-06,7.3430248614543105e-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
13,2019-12-06,39,39,109580999.0,109580046.145,0.0,0.0,982.855,982.855,0.0,982.855,0.0,0.0,0.0,0.0,0.0,3.0,0.0,30.0,148.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.352424246469956e-06,8.969210072633122e-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
14,2019-12-07,42,42,109580999.0,109579832.394,0.0,0.0,1196.606,1196.606,0.0,1196.606,0.0,0.0,0.0,0.0,0.0,3.0,0.0,30.0,183.752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.676860054907877e-06,1.0919831092249853e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
15,2019-12-08,45,45,109580999.0,109579575.799,0.0,0.0,1453.2,1453.2,0.0,1453.2,0.0,0.0,0.0,0.0,0.0,3.0,0.0,30.0,226.59300000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0678128696381024e-06,1.3261423177936168e-05,0.0,0.0,2.338903798513625,,0.0,0.0,0.0,0.0,0.0,0.0
16,2019-12-09,48,48,109580999.0,109579354.14400001,0.0,0.0,1674.856,1674.856,0.0,1674.856,0.0,0.0,0.0,0.0,0.0,3.0,0.0,30.0,191.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.7489893480529413e-06,1.5284182616367643e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
17,2019-12-10,51,51,109580999.0,109579195.45899999,0.0,0.0,1833.542,1833.542,0.0,1833.542,0.0,0.0,0.0,0.0,0.0,3.0,0.0,30.0,128.685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.1743368026787199e-06,1.6732298635094574e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
18,2019-12-11,54,54,109580999.0,109579137.12200001,0.0,0.0,1891.878,1891.878,0.0,1891.878,0.0,0.0,0.0,0.0,0.0,3.0,0.0,30.0,28.336000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.5858497603220427e-07,1.7264653701505313e-05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
