dates,days,day1,population,susceptibles,isolated,isolatedinfected,infectednotisolated,infected,importedinfections,accumulatedinfected,tested_mit,confirmed,deaths,recovered,beta,susceptibleprop,newtested_mit,newimportedinfections,newinfected,newisolated,newisolatedinfected,newconfirmed,newrecovered,requireddxtests,actualdxtests,newdeaths,truepositives,falsepositives,truenegatives,falsenegatives,ppv,npv,incidence,prevalence,actualdeaths,reff,positive rate,detection rate
2020-01-16,0,0,65273999.0,65273996.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.596010733155785e-08,0.0,0.0,1.0,,0.0
2020-01-17,3,3,65273999.0,65273996.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
2020-01-18,6,6,65273999.0,65273992.0,0.0,0.0,10.9,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
2020-01-19,9,9,65273999.0,65273988.1,0.0,0.0,15.1,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,
2020-01-20,12,12,65273999.0,65273982.900000006,0.0,0.0,20.1,20.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,1.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.5840916993610274e-08,1.532003577718595e-08,0.0,0.05144278606965174,,0.0
2020-01-21,15,15,65273999.0,65273976.599999994,0.0,0.0,26.5,26.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3.707448658079e-08,5.362012522015083e-08,0.0,0.09132075471698113,,0.0
2020-01-22,18,18,65273999.0,65273968.8,0.0,0.0,34.3,34.3,0.0,7.300000000000001,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,3.808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.83386962395241e-08,1.1183626117345745e-07,0.0,0.1110204081632653,,0.0
2020-01-23,21,21,65273999.0,65273959.599999994,0.0,0.0,43.5,43.5,0.0,12.5,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,5.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,7.960290589825819e-08,1.9150044721482438e-07,0.0,0.11944827586206896,,0.0
2020-01-24,24,24,65273999.0,65273948.599999994,0.0,0.0,54.5,54.5,0.0,19.4,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,6.941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0633636832944769e-07,2.9720869407740746e-07,0.0,0.12735779816513762,,0.0
2020-01-25,27,27,65273999.0,65273935.4,0.0,0.0,67.6,67.6,0.0,28.5,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,9.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.404387679694636e-07,4.366210196497996e-07,0.0,0.13560650887573966,,0.0
2020-01-26,30,30,65273999.0,65273919.6,0.0,0.0,80.5,80.5,0.0,40.4,0.0,0.0,0.0,3.0,0.0,3.0,0.0,4.0,11.876,0.0,0.0,0.0,2.9699999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.8194074488986033e-07,6.189294453983124e-07,0.0,0.147527950310559,,0.0
2020-01-27,33,33,65273999.0,65273900.5,0.0,0.0,99.6,99.6,0.0,55.5,0.0,0.0,0.0,3.0,0.0,3.0,0.0,4.0,15.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.3078101894752916e-07,8.502619856338202e-07,0.0,0.15124497991967872,,0.0
2020-01-28,36,36,65273999.0,65273877.599999994,0.0,0.0,122.30000000000001,122.30000000000001,0.0,74.4,0.0,0.0,0.0,3.0,0.0,3.0,0.0,4.0,18.858999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.889205547219498e-07,1.139810661822635e-06,0.0,0.15420278004905966,,0.0
2020-01-29,39,39,65273999.0,65273850.10000001,0.0,0.0,149.8,149.8,0.0,97.69999999999999,0.0,0.0,0.0,3.0,0.0,3.0,0.0,4.0,23.426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3.5888715811635805e-07,1.4967674954310673e-06,0.0,0.1563818424566088,,0.0
2020-01-30,42,42,65273999.0,65273818.3,0.0,0.0,180.70000000000002,180.70000000000002,0.0,125.69999999999999,0.0,0.0,0.0,4.0,0.0,3.0,0.0,4.0,27.91,0.0,0.0,0.0,1.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.275821985412599e-07,1.925728497192274e-06,0.0,0.15445489762036524,,0.0
2020-01-31,45,45,65273999.0,65273779.7,0.0,0.0,216.8,216.8,0.0,160.2,0.0,0.0,0.0,6.4,0.0,3.0,0.0,4.0,34.522,0.0,0.0,0.0,2.395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.288782751000134e-07,2.454269731505189e-06,0.0,0.15923431734317342,,0.0
2020-02-01,48,48,65273999.0,65273733.300000004,0.0,0.0,259.5,259.5,0.0,202.7,0.0,0.0,0.0,10.100000000000001,0.0,3.0,0.0,4.0,42.449,0.0,0.0,0.0,3.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,6.503201987057664e-07,3.105371252035592e-06,0.0,0.16357996146435452,,0.0
2020-02-02,51,51,65273999.0,65273677.300000004,0.0,0.0,310.4,310.4,0.0,254.6,0.0,0.0,0.0,15.3,0.0,3.0,0.0,4.0,51.962,0.0,0.0,0.0,5.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,7.960596990541364e-07,3.900481108871543e-06,0.0,0.16740335051546393,,0.0
2020-02-03,54,54,65273999.0,65273610.6,0.0,0.0,370.1,370.1,0.0,317.29999999999995,0.0,0.0,0.0,22.200000000000003,0.0,3.0,0.0,4.0,62.67400000000001,0.0,0.0,0.0,6.868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,9.601679222993525e-07,4.861047352101101e-06,0.0,0.1693434206971089,,0.0
2020-02-04,57,57,65273999.0,65273531.5,0.0,0.0,440.3,440.3,0.0,392.5,0.0,0.0,0.0,31.200000000000003,0.0,3.0,0.0,4.0,75.20400000000001,0.0,0.0,0.0,9.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.1521279705874923e-06,6.013114042545486e-06,0.0,0.17080172609584376,,0.0
2020-02-05,60,60,65273999.0,65273437.5,0.0,0.0,522.6,522.6,0.0,482.5,0.0,0.0,0.0,43.0,0.0,3.0,0.0,4.0,90.007,0.0,0.0,0.0,11.751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.378910460197176e-06,7.3919172624922215e-06,0.0,0.1722292384232683,,0.0
2020-02-06,63,63,65273999.0,65273325.9,0.0,0.0,619.2,619.2,0.0,590.2,0.0,0.0,0.0,57.900000000000006,0.0,3.0,0.0,4.0,107.63300000000001,0.0,0.0,0.0,14.907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.6489414108058556e-06,9.041885115695149e-06,0.0,0.17382590439276485,,0.0
2020-02-07,66,66,65273999.0,65273193.5,0.0,0.0,733.0,733.0,0.0,718.5,0.0,0.0,0.0,76.60000000000001,0.0,3.0,0.0,4.0,128.376,0.0,0.0,0.0,18.662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.9667249129320237e-06,1.1007445705908106e-05,0.0,0.17513778990450204,,0.0
2020-02-08,69,69,65273999.0,65273036.8,0.0,0.0,866.5,866.5,0.0,871.1999999999999,0.0,0.0,0.0,99.7,0.0,3.0,0.0,4.0,152.699,0.0,0.0,0.0,23.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.339354143140518e-06,1.33468151690844e-05,0.0,0.1762250432775534,,0.0
2020-02-09,72,72,65273999.0,65272851.6,0.0,0.0,1024.2,1024.2,0.0,1052.4,0.0,0.0,0.0,127.29999999999998,0.0,3.0,0.0,4.0,181.22899999999998,0.0,0.0,0.0,27.616999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.7764347638636325e-06,1.6122805651910496e-05,0.0,0.17694688537395037,,0.0
2020-02-10,75,75,65273999.0,65272632.8,0.0,0.0,1208.8,1208.8,0.0,1267.3000000000002,0.0,0.0,0.0,161.5,0.0,3.0,0.0,4.0,214.775,0.0,0.0,0.0,34.160000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3.290360684045113e-06,1.9415081340427757e-05,0.0,0.17767620780939777,,0.0
2020-02-11,78,78,65273999.0,65272374.5,0.0,0.0,1424.9,1424.9,0.0,1521.5,0.0,0.0,0.0,203.5,0.0,3.0,0.0,4.0,254.216,0.0,0.0,0.0,42.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3.8945982151331035e-06,2.3309434434988424e-05,0.0,0.17840971296231314,,0.0
2020-02-12,81,81,65273999.0,65272070.099999994,0.0,0.0,1678.0,1678.0,0.0,1822.0,0.0,0.0,0.0,255.0,0.0,3.0,0.0,4.0,300.52299999999997,0.0,0.0,0.0,51.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4.604023111867253e-06,2.7913105186032802e-05,0.0,0.179095947556615,,0.0
2020-02-13,84,84,65273999.0,65271710.89999999,0.0,0.0,1975.1999999999998,1975.1999999999998,0.0,2177.1000000000004,0.0,0.0,0.0,317.0,0.0,3.0,0.0,4.0,355.186,0.0,0.0,0.0,62.016000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.441462227555569e-06,3.335324989051154e-05,0.0,0.1798228027541515,,0.0
2020-02-14,87,87,65273999.0,65271287.7,0.0,0.0,2323.9,2323.9,0.0,2596.3,0.0,0.0,0.0,391.4,0.0,3.0,0.0,4.0,419.21500000000003,0.0,0.0,0.0,74.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,6.422388798333009e-06,3.977540888830789e-05,0.0,0.18039287404793666,,0.0
2020-02-15,90,90,65273999.0,65270789.4,0.0,0.0,2733.1,2733.1,0.0,3090.5,0.0,0.0,0.0,480.4,0.0,3.0,0.0,4.0,494.19100000000003,0.0,0.0,0.0,89.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,7.571023800763303e-06,4.734657056939318e-05,3.0,0.18081702096520436,,0.0
2020-02-16,93,93,65273999.0,65270203.5,0.0,0.0,3212.5,3212.5,0.0,3672.6000000000004,0.0,0.0,0.0,586.9,0.0,3.0,0.0,4.0,581.971,0.0,0.0,0.0,106.50399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,8.915816541284686e-06,5.626436339529313e-05,3.0,0.1811582879377432,,0.0
2020-02-17,96,96,65273998.9,65269514.5,0.0,0.0,3774.5,3774.5,0.0,4357.6,0.0,0.0,0.1,714.0,0.0,3.0,0.0,4.0,685.034,0.0,0.0,0.0,127.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0494745404666788e-05,6.67585880049399e-05,3.0,0.18148999867532123,,0.0
2020-02-18,99,99,65273998.8,65268704.4,0.0,0.0,4433.3,4433.3,0.0,5163.6,0.0,0.0,0.2,865.1,0.0,3.0,0.0,4.0,806.0,0.0,0.0,0.0,151.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.2347948874246082e-05,7.910653698146038e-05,3.0,0.181805878239686,,0.0
2020-02-19,102,102,65273998.8,65267752.5,0.0,0.0,5205.8,5205.8,0.0,6111.4,0.0,0.0,0.2,1044.4,0.0,3.0,0.0,4.0,947.884,0.0,0.0,0.0,179.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.4521616837116467e-05,9.36268669355676e-05,3.0,0.18208229282723115,,0.0
2020-02-20,105,105,65273998.699999996,65266634.400000006,0.0,0.0,6111.400000000001,6111.400000000001,0.0,7225.6,0.0,0.0,0.30000000000000004,1256.9,0.0,3.0,0.0,4.0,1114.153,0.0,0.0,0.0,212.525,0.0,0.0,0.1,0.0,0.0,0.0,0.0,,,1.706886389970774e-05,0.0001106964510203969,3.0,0.18230732728998264,,0.0
2020-02-21,108,108,65273998.6,65265321.3,0.0,0.0,7172.7,7172.7,0.0,8534.6,0.0,0.0,0.4,1508.5,0.0,3.0,0.0,4.0,1309.0369999999998,0.0,0.0,0.0,251.55100000000002,0.0,0.0,0.1,0.0,0.0,0.0,0.0,,,2.0054493796554388e-05,0.0001307503781452114,3.0,0.18250268378713733,,0.0
2020-02-22,111,111,65273998.400000006,65263779.8,0.0,0.0,8416.7,8416.7,0.0,10072.099999999999,0.0,0.0,0.6000000000000001,1805.9,0.0,3.0,0.0,4.0,1537.5149999999999,0.0,0.0,0.0,297.373,0.0,0.0,0.1,0.0,0.0,0.0,0.0,,,2.3554785024476144e-05,0.00015430493376976886,3.0,0.18267432604227307,,0.0
2020-02-23,114,114,65273998.2,65261970.5,0.0,0.0,9874.5,9874.5,0.0,11877.6,0.0,0.0,0.8,2157.4,0.0,3.0,0.0,4.0,1805.3909999999998,0.0,0.0,0.0,351.464,0.0,0.0,0.2,0.0,0.0,0.0,0.0,,,2.7658655050794787e-05,0.0001819652591772753,3.0,0.18283366246392221,,0.0
2020-02-24,117,117,65273998.0,65259847.1,5.0,0.0,11578.5,11582.8,0.0,13997.0,8.2,5.0,1.0,2572.1,0.0,3.0,8.2,4.0,2119.3959999999997,5.0,4.3,5.0,414.822,0.0,0.0,0.30000000000000004,4.3,0.7,3.5,0.2,0.86,0.9459459459459459,3.246922304345445e-05,0.00021443454405841665,3.0,0.18297786372897742,0.6097560975609757,0.002359162704846098
2020-02-25,120,120,65273997.7,65257355.7,21.7,0.0,13566.2,13584.9,0.0,16484.4,35.4,21.7,1.3,3061.1,0.0,3.0,27.2,4.0,2487.424,16.7,14.3,16.7,489.011,0.0,0.0,0.30000000000000004,14.3,2.4,11.600000000000001,0.7,0.8562874251497007,0.943089430894309,3.8107425431980246e-05,0.0002525416027950744,3.0,0.18310212073699475,0.6139705882352942,0.006713772963515669
2020-02-26,123,123,65273997.4,65254432.900000006,57.9,0.0,15882.0,15931.4,0.0,19403.1,94.0,57.9,1.6,3637.0,0.0,3.0,58.6,4.0,2918.757,36.1,30.8,36.1,575.873,0.0,0.0,0.30000000000000004,30.8,5.3,24.9,1.6,0.853185595567867,0.9396226415094339,4.471546276097992e-05,0.00029725619347467755,6.0,0.1832078160111478,0.6160409556313994,0.012368278688496508
2020-02-27,126,126,65273996.900000006,65251004.7,114.5,0.0,18583.6,18681.3,0.0,22827.3,185.8,114.5,2.0999999999999996,4314.9,0.0,3.0,91.8,4.0,3424.176,56.6,48.2,56.6,677.855,0.0,0.0,0.4,48.2,8.3,39.0,2.5,0.8530973451327434,0.9397590361445783,5.2458500515080294e-05,0.00034971506394761615,6.0,0.1832943103531339,0.6165577342047931,0.01652952418333637
2020-02-28,129,129,65273996.400000006,65246985.8,196.7,0.30000000000000004,21734.3,21902.1,0.0,26842.3,319.5,196.7,2.6,5112.4,0.0,3.0,133.6,4.0,4014.9539999999997,82.2,70.2,82.2,797.5540000000001,0.0,0.0,0.6000000000000001,70.2,12.100000000000001,56.7,3.7,0.8529769137302551,0.9387417218543046,6.150924137379765e-05,0.00041122501272191134,6.0,0.1833136548550139,0.6152694610778443,0.020473459969902522
2020-02-29,132,132,65273995.6,65242277.699999996,303.2,0.30000000000000004,25412.9,25671.600000000002,0.0,31546.399999999998,492.29999999999995,303.2,3.4,6050.4,0.0,3.0,172.8,4.0,4704.085,106.5,90.8,106.5,937.95,0.0,0.0,0.6000000000000001,90.8,15.5,73.4,4.8,0.8541862652869238,0.9386189258312021,7.206675425274564e-05,0.0004832920018151914,6.0,0.1832408186478443,0.6163194444444444,0.022639897025670243
2020-03-01,135,135,65273994.8,65236766.8,428.8,0.30000000000000004,29713.199999999997,30079.2,0.0,37053.2,696.3,428.8,4.2,7152.799999999999,0.0,3.0,204.0,4.0,5506.843,125.6,107.2,125.6,1102.478,0.0,0.0,0.7,107.2,18.4,86.6,5.7,0.8535031847133758,0.9382448537378114,8.436503720774265e-05,0.0005676563861845943,6.0,0.1830781071305088,0.6156862745098038,0.02280798635443211
2020-03-02,138,138,65273993.9,65230319.60000001,585.7,0.6000000000000001,34730.5,35230.200000000004,0.0,43496.4,950.7,585.7,5.1,8448.2,0.0,3.0,254.5,4.0,6443.292,156.8,133.8,156.8,1295.319,0.0,0.0,0.8999999999999999,133.8,23.0,108.0,7.0,0.8533163265306123,0.9391304347826087,9.871147167539874e-05,0.0006663664562434566,9.0,0.18289115588330465,0.6161100196463655,0.024335386321153844
2020-03-03,141,141,65273992.8,65222780.300000004,795.5,0.8999999999999999,40568.1,41246.9,0.0,51031.8,1291.6000000000001,795.5,6.2,9969.6,0.0,3.0,340.9,4.0,7535.253000000001,209.89999999999998,179.2,209.89999999999998,1521.402,0.0,0.0,1.1,179.2,30.800000000000004,144.6,9.4,0.8533333333333333,0.9389610389610389,0.00011544035651516021,0.0007818090760337248,12.0,0.18268652916946487,0.6157230859489586,0.027855733576563384
2020-03-04,144,144,65273991.5,65213966.2,1060.2,0.8999999999999999,47368.399999999994,48273.2,0.0,59841.8,1721.3,1060.2,7.5,11756.0,0.0,3.0,429.70000000000005,4.0,8810.051,264.59999999999997,225.9,264.59999999999997,1786.4719999999998,0.0,0.0,1.3,225.9,38.9,182.4,11.9,0.85309667673716,0.9387545033453423,0.00013497031202695792,0.000916778622309316,12.0,0.18250397736218027,0.615778450081452,0.030033878350987978
2020-03-05,147,147,65273989.89999999,65203662.2,1392.3000000000002,1.5,55290.3,56478.5,0.0,70141.9,2268.6,1397.2,9.1,13853.2,0.0,3.0,547.5,4.0,10300.073,337.2,287.8,337.2,2097.186,0.0,0.0,1.6,287.8,49.5,232.3,15.1,0.8532463682182034,0.9389652384801941,0.00015779750886654473,0.0010745765672890177,18.0,0.18237157502412424,0.6158904109589041,0.03273763205367573
2020-03-06,150,150,65273987.900000006,65191619.9,1792.1,1.7999999999999998,64528.0,66057.4,0.0,82180.1,2944.7,1813.6,11.1,16314.599999999999,0.0,3.0,676.0,4.0,12038.181,416.3,355.2,416.3,2461.358,0.0,0.0,1.9,355.2,61.099999999999994,286.9,18.7,0.853230843141965,0.9388089005235603,0.00018442539497422064,0.0012590022862690759,27.0,0.18223818981673517,0.6158284023668639,0.03458163654459091
2020-03-07,153,153,65273985.7,65177556.0,2242.1,2.0999999999999996,75317.7,77231.1,0.0,96240.0,3733.3,2299.4,13.3,19202.7,0.0,3.0,788.5999999999999,4.0,14060.043999999998,485.7,414.5,485.7,2888.169,0.0,0.0,2.2,414.5,71.2,334.8,21.8,0.8534074531603871,0.9388670779584969,0.0002154004209980393,0.0014744005436150346,33.0,0.1820515828468065,0.6159015977681969,0.03454469986011424
2020-03-08,156,156,65273983.10000001,65161137.1,2742.0,2.7,87918.9,90258.9,0.0,112654.8,4635.9,2855.2999999999997,15.900000000000002,22591.0,0.0,3.0,902.5,4.0,16414.809999999998,555.9000000000001,474.40000000000003,555.9000000000001,3388.2919999999995,0.0,0.0,2.6,474.40000000000003,81.6,383.1,24.900000000000002,0.8532374100719425,0.9389705882352942,0.000251475537732276,0.0017258759868753893,57.0,0.18186361677352592,0.6159556786703602,0.03386575903102139
2020-03-09,159,159,65273979.900000006,65141976.0,3314.8,3.3000000000000003,102615.20000000001,105444.0,0.0,131812.0,5698.200000000001,3509.5,19.1,26563.9,0.0,3.0,1062.3,4.0,19157.094,654.2,558.3,654.2,3972.88,0.0,0.0,3.1,558.3,95.89999999999999,450.9,29.4,0.8534087435035158,0.938788257339163,0.000293487451345065,0.002019365146754289,57.0,0.18168026630249232,0.6158335686717501,0.03414922952301638
2020-03-10,162,162,65273976.2,65119618.3,4043.1,3.9000000000000004,119693.1,123143.29999999999,0.0,154165.8,7051.799999999999,4343.2,22.8,31218.800000000003,0.0,3.0,1353.7,4.0,22353.822,833.7,711.4,833.7,4654.7880000000005,0.0,0.0,3.8,711.4,122.19999999999999,574.6,37.5,0.8534069097888676,0.938735500735174,0.00034246147241754824,0.0023618263965969333,99.0,0.18152690402157487,0.6158676220728374,0.037295635618821696
2020-03-11,165,165,65273971.800000004,65093528.2,4924.3,4.800000000000001,139577.7,143779.8,0.0,180251.8,8684.6,5348.599999999999,27.2,36667.8,0.0,3.0,1632.6999999999998,4.0,26086.057999999997,1005.6,858.1,1005.6,5449.133,0.0,0.0,4.5,858.1,147.5,693.0,45.099999999999994,0.853321400159109,0.9388971684053651,0.00039963950837751833,0.002761465175618438,144.0,0.18143061820923384,0.6159122925215901,0.03854932776734607
2020-03-12,168,168,65273966.6,65063081.3,5945.5,5.699999999999999,162772.2,167845.7,0.0,210694.7,10594.5,6524.8,32.4,43043.7,0.0,3.0,1910.0,4.0,30442.887000000002,1176.3,1003.7,1176.3,6375.769,0.0,0.0,5.2,1003.7,172.5,810.7,52.800000000000004,0.8533412684917531,0.9388535031847134,0.0004663863495006293,0.0032278519442696164,144.0,0.1813742443208256,0.6158638743455497,0.038639567922713766
2020-03-13,171,171,65273960.5,65027556.0,7079.299999999999,6.8999999999999995,189867.5,195908.7,0.0,246216.1,12773.0,7866.5,38.5,50499.9,0.0,3.0,2178.5,4.0,35521.281,1341.6000000000001,1144.8,1341.6000000000001,7456.2880000000005,0.0,0.0,6.1,1144.8,196.8,924.7,60.199999999999996,0.853309481216458,0.9388770433546553,0.0005441876167449653,0.003772041685750017,237.0,0.181315485223474,0.6158365848060593,0.03776890816522073
2020-03-14,174,174,65273953.3,64986133.2,8326.1,8.100000000000001,221501.40000000002,228606.5,0.0,287634.9,15222.8,9375.0,45.699999999999996,59217.700000000004,0.0,3.0,2449.7,4.0,41418.849,1508.6,1287.4,1508.6,8717.727,0.0,0.0,7.200000000000001,1287.4,221.2,1039.9,67.7,0.8533739891289938,0.9388768508486818,0.0006345386927866678,0.004406580043926955,273.0,0.18117966462020985,0.61583050985835,0.03642303049029682
2020-03-15,177,177,65273944.9,64937848.60000001,9793.2,9.600000000000001,258333.5,266690.6,0.0,335915.5,18147.1,11175.8,54.1,69409.8,0.0,3.0,2924.3,4.0,48280.563,1800.8,1536.8000000000002,1800.8,10192.133,0.0,0.0,8.4,1536.8000000000002,264.0,1241.4,80.9,0.8533984895601955,0.9388187249489526,0.0007396605655436646,0.00514624174338818,273.0,0.18103586328127053,0.6158054919125944,0.03729865370459744
2020-03-16,180,180,65273935.0,64881567.1,11462.300000000001,11.399999999999999,301268.69999999995,311050.1,0.0,392193.0,21526.5,13257.0,64.0,81321.8,0.0,3.0,3379.4,4.0,56277.507,2081.1,1775.9,2081.1,11912.027,0.0,0.0,9.9,1775.9,305.2,1434.6,93.4,0.853346787756475,0.9388743455497381,0.0008621742660374313,0.006008416682708037,444.0,0.18092746795451922,0.6158193762206309,0.03697924998703301
2020-03-17,183,183,65273923.3,64815953.2,13321.1,13.200000000000001,351371.9,362739.6,0.0,457802.80000000005,25325.5,15596.3,75.7,95234.4,0.0,3.0,3798.8,4.0,65609.832,2339.2999999999997,1996.3,2339.2999999999997,13912.702000000001,0.0,0.0,11.700000000000001,1996.3,343.1,1612.6999999999998,105.10000000000001,0.8533384628537232,0.9388170916288276,0.001005146139269983,0.007013563408712712,444.0,0.1808730891250914,0.6157997262293354,0.03565471711617856
2020-03-18,186,186,65273909.599999994,64739456.7,15367.1,15.0,409865.9,422979.5,0.0,534295.3,29541.199999999997,18192.399999999998,89.4,111477.29999999999,0.0,3.0,4215.8,4.0,76492.474,2596.2,2215.3,2596.2,16242.793,0.0,0.0,13.700000000000001,2215.3,380.70000000000005,1789.6999999999998,116.5,0.8533513097072419,0.9388836428496485,0.0011718690433704312,0.008185434322444814,444.0,0.18084203607976274,0.6158261777124151,0.033940593946536486
